tanggal,pm10,so2,co,o3,no2
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-01,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-02,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-03,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-04,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-05,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-06,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-07,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-08,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-09,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-10,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-11,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-12,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-13,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-14,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-15,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-16,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-17,---,---,---,---,---
2011-01-18,---,---,---,---,---
2011-01-18,---,---,---,---,---
2011-01-18,---,---,---,---,---
2011-01-18,---,---,---,---,---
2011-01-18,---,---,---,---,---
