tanggal,stasiun,pm10,so2,co,o3,no2
2011-01-01,Jakarta Pusat,52,17,51,46,7
2011-01-01,Jakarta Utara,19,6,19,41,7
2011-01-01,Jakarta Barat,,,,,
2011-01-01,Jakarta Timur,,2,14,47,5
2011-01-01,Jakarta Selatan,,5,7,76,2
2011-01-02,Jakarta Pusat,35,15,15,47,10
2011-01-02,Jakarta Utara,17,4,12,41,11
2011-01-02,Jakarta Barat,,,,,
2011-01-02,Jakarta Timur,,3,10,36,5
2011-01-02,Jakarta Selatan,,5,6,42,2
2011-01-03,Jakarta Utara,21,5,25,22,15
2011-01-03,Jakarta Barat,,,,,
2011-01-03,Jakarta Timur,,2,35,18,11
2011-01-03,Jakarta Selatan,,5,12,31,5
2011-01-03,Jakarta Pusat,41,16,28,21,14
2011-01-04,Jakarta Pusat,34,17,19,26,11
2011-01-04,Jakarta Barat,,,,,
2011-01-04,Jakarta Timur,53,,,46,
2011-01-04,Jakarta Utara,17,8,16,44,9
2011-01-04,Jakarta Selatan,,5,5,77,2
2011-01-05,Jakarta Timur,59,,,38,
2011-01-05,Jakarta Utara,15,4,18,27,12
2011-01-05,Jakarta Pusat,34,12,21,35,10
2011-01-05,Jakarta Barat,,,,,
2011-01-05,Jakarta Selatan,56,,15,61,10
2011-01-06,Jakarta Selatan,53,,30,94,
2011-01-06,Jakarta Utara,16,5,17,29,19
2011-01-06,Jakarta Barat,,,,,
2011-01-06,Jakarta Pusat,28,11,30,42,16
2011-01-06,Jakarta Timur,57,,,57,17
2011-01-07,Jakarta Barat,,,,,
2011-01-07,Jakarta Utara,18,6,19,46,19
2011-01-07,Jakarta Timur,57,4,12,44,17
2011-01-07,Jakarta Pusat,37,17,28,30,13
2011-01-07,Jakarta Selatan,50,4,8,67,
2011-01-08,Jakarta Selatan,70,4,25,69,7
2011-01-08,Jakarta Pusat,57,22,37,23,14
2011-01-08,Jakarta Timur,70,6,37,28,14
2011-01-08,Jakarta Barat,,,,,
2011-01-08,Jakarta Utara,22,9,17,43,16
2011-01-09,Jakarta Barat,,,,,
2011-01-09,Jakarta Pusat,,20,34,31,13
2011-01-09,Jakarta Timur,70,3,31,37,18
2011-01-09,Jakarta Selatan,74,5,34,78,11
2011-01-09,Jakarta Utara,31,5,35,28,14
2011-01-10,Jakarta Pusat,,19,21,28,13
2011-01-10,Jakarta Barat,,,,,
2011-01-10,Jakarta Timur,54,3,8,41,7
2011-01-10,Jakarta Selatan,55,2,8,89,
2011-01-10,Jakarta Utara,16,9,16,29,13
2011-01-11,Jakarta Timur,52,4,14,41,12
2011-01-11,Jakarta Utara,19,5,14,35,9
2011-01-11,Jakarta Barat,,,,,
2011-01-11,Jakarta Selatan,49,3,8,63,
2011-01-11,Jakarta Pusat,46,18,24,31,11
2011-01-12,Jakarta Timur,60,4,14,31,15
2011-01-12,Jakarta Pusat,43,20,28,27,10
2011-01-12,Jakarta Utara,21,4,19,33,8
2011-01-12,Jakarta Barat,,,,,
2011-01-12,Jakarta Selatan,57,3,9,58,
2011-01-13,Jakarta Timur,71,5,24,51,18
2011-01-13,Jakarta Utara,22,4,20,44,14
2011-01-13,Jakarta Selatan,67,3,14,73,9
2011-01-13,Jakarta Barat,,,,,
2011-01-13,Jakarta Pusat,49,16,28,34,14
2011-01-14,Jakarta Selatan,70,2,9,55,3
2011-01-14,Jakarta Timur,61,3,11,50,10
2011-01-14,Jakarta Barat,,,,,
2011-01-14,Jakarta Pusat,44,15,24,37,13
2011-01-14,Jakarta Utara,21,6,18,39,17
2011-01-15,Jakarta Barat,,,,,
2011-01-15,Jakarta Timur,,,,,
2011-01-15,Jakarta Selatan,90,2,8,58,3
2011-01-15,Jakarta Utara,22,6,18,31,17
2011-01-15,Jakarta Pusat,39,15,26,32,15
2011-01-16,Jakarta Utara,16,4,14,22,8
2011-01-16,Jakarta Barat,,,,,
2011-01-16,Jakarta Timur,66,2,11,16,8
2011-01-16,Jakarta Pusat,32,13,16,22,8
2011-01-16,Jakarta Selatan,55,2,8,22,2
2011-01-17,Jakarta Selatan,55,2,12,46,5
2011-01-17,Jakarta Pusat,32,14,20,36,10
2011-01-17,Jakarta Utara,16,6,18,35,13
2011-01-17,Jakarta Timur,67,3,18,39,7
2011-01-17,Jakarta Barat,,,,,
2011-01-18,Jakarta Barat,,,,,
2011-01-18,Jakarta Selatan,80,2,29,48,6
2011-01-18,Jakarta Utara,17,7,19,38,14
2011-01-18,Jakarta Pusat,33,12,31,38,17
2011-01-18,Jakarta Timur,,,,,
2011-01-19,Jakarta Utara,26,7,26,40,16
2011-01-19,Jakarta Pusat,42,13,31,33,14
2011-01-19,Jakarta Selatan,,2,70,48,7
2011-01-19,Jakarta Barat,,,,,
2011-01-19,Jakarta Timur,,5,55,,
2011-01-20,Jakarta Pusat,49,16,25,31,14
2011-01-20,Jakarta Barat,,,,,
2011-01-20,Jakarta Timur,,3,26,,
2011-01-20,Jakarta Selatan,,2,24,44,8
2011-01-20,Jakarta Utara,23,5,18,36,16
2011-01-21,Jakarta Barat,,,,,
2011-01-21,Jakarta Timur,,3,43,47,13
2011-01-21,Jakarta Pusat,50,13,39,42,21
2011-01-21,Jakarta Utara,26,5,28,34,21
2011-01-21,Jakarta Selatan,,2,28,55,18
2011-01-22,Jakarta Pusat,58,16,44,36,16
2011-01-22,Jakarta Utara,37,7,38,31,17
2011-01-22,Jakarta Barat,,,,,
2011-01-22,Jakarta Timur,65,4,39,50,23
2011-01-22,Jakarta Selatan,,3,23,49,11
2011-01-23,Jakarta Selatan,,3,51,48,7
2011-01-23,Jakarta Pusat,50,14,40,39,12
2011-01-23,Jakarta Barat,,,,,
2011-01-23,Jakarta Utara,35,7,47,38,14
2011-01-23,Jakarta Timur,67,3,59,48,12
2011-01-24,Jakarta Barat,,,,,
2011-01-24,Jakarta Selatan,,2,25,44,5
2011-01-24,Jakarta Timur,63,4,32,36,17
2011-01-24,Jakarta Pusat,57,20,31,36,10
2011-01-24,Jakarta Utara,35,7,33,32,15
2011-01-25,Jakarta Barat,,,,,
2011-01-25,Jakarta Pusat,44,23,27,37,13
2011-01-25,Jakarta Selatan,,4,25,46,10
2011-01-25,Jakarta Utara,20,10,15,30,14
2011-01-25,Jakarta Timur,60,7,25,59,19
2011-01-26,Jakarta Utara,25,16,14,22,14
2011-01-26,Jakarta Timur,58,8,20,70,17
2011-01-26,Jakarta Barat,,,,,
2011-01-26,Jakarta Pusat,46,24,26,37,10
2011-01-26,Jakarta Selatan,,3,13,63,4
2011-01-27,Jakarta Utara,20,10,16,29,13
2011-01-27,Jakarta Barat,,,,,
2011-01-27,Jakarta Selatan,94,3,21,40,5
2011-01-27,Jakarta Pusat,42,20,24,37,11
2011-01-27,Jakarta Timur,71,4,26,33,19
2011-01-28,Jakarta Barat,,,,,
2011-01-28,Jakarta Pusat,43,14,31,37,11
2011-01-28,Jakarta Selatan,,2,28,36,6
2011-01-28,Jakarta Utara,,,,,
2011-01-28,Jakarta Timur,68,3,38,34,16
2011-01-29,Jakarta Selatan,,2,8,45,4
2011-01-29,Jakarta Timur,48,2,12,40,12
2011-01-29,Jakarta Pusat,24,14,23,33,10
2011-01-29,Jakarta Utara,,,,,
2011-01-29,Jakarta Barat,,,,,
2011-01-30,Jakarta Timur,56,3,15,40,11
2011-01-30,Jakarta Utara,,,,,
2011-01-30,Jakarta Pusat,37,16,25,31,13
2011-01-30,Jakarta Barat,,,,,
2011-01-30,Jakarta Selatan,,2,15,42,6
2011-01-31,Jakarta Selatan,,2,8,24,2
2011-01-31,Jakarta Timur,47,2,10,21,8
2011-01-31,Jakarta Barat,,,,,
2011-01-31,Jakarta Utara,,,,,
2011-01-31,Jakarta Pusat,30,14,22,19,8
2011-02-01,Jakarta Utara,,,,,
2011-02-01,Jakarta Barat,,,,,
2011-02-01,Jakarta Timur,56,3,18,29,8
2011-02-01,Jakarta Pusat,37,20,22,26,11
2011-02-01,Jakarta Selatan,,2,12,25,3
2011-02-02,Jakarta Barat,,,,,
2011-02-02,Jakarta Utara,29,6,24,28,13
2011-02-02,Jakarta Timur,60,4,23,40,16
2011-02-02,Jakarta Pusat,49,18,29,32,11
2011-02-02,Jakarta Selatan,,4,15,45,3
2011-02-03,Jakarta Timur,50,4,20,48,8
2011-02-03,Jakarta Selatan,,4,9,42,3
2011-02-03,Jakarta Barat,,,,,
2011-02-03,Jakarta Pusat,39,16,24,40,10
2011-02-03,Jakarta Utara,20,6,18,35,12
2011-02-04,Jakarta Pusat,41,16,27,33,12
2011-02-04,Jakarta Timur,49,4,15,34,16
2011-02-04,Jakarta Utara,22,5,13,31,13
2011-02-04,Jakarta Selatan,,5,10,42,6
2011-02-04,Jakarta Barat,,,,,
2011-02-05,Jakarta Pusat,44,14,39,29,14
2011-02-05,Jakarta Barat,,,,,
2011-02-05,Jakarta Utara,35,7,44,51,15
2011-02-05,Jakarta Selatan,,2,31,21,5
2011-02-05,Jakarta Timur,56,3,44,28,19
2011-02-06,Jakarta Timur,38,2,13,38,9
2011-02-06,Jakarta Barat,,,,,
2011-02-06,Jakarta Pusat,29,15,21,30,16
2011-02-06,Jakarta Selatan,,2,5,22,1
2011-02-06,Jakarta Utara,20,5,15,37,9
2011-02-07,Jakarta Barat,,,,,
2011-02-07,Jakarta Selatan,,3,10,37,4
2011-02-07,Jakarta Utara,24,7,19,34,13
2011-02-07,Jakarta Pusat,41,16,24,29,12
2011-02-07,Jakarta Timur,51,3,20,32,16
2011-02-08,Jakarta Timur,57,3,38,53,18
2011-02-08,Jakarta Pusat,39,17,28,44,11
2011-02-08,Jakarta Utara,20,7,16,34,17
2011-02-08,Jakarta Selatan,,3,19,42,9
2011-02-08,Jakarta Barat,,,,,
2011-02-09,Jakarta Utara,24,11,21,54,22
2011-02-09,Jakarta Selatan,,2,11,48,3
2011-02-09,Jakarta Timur,55,3,14,70,14
2011-02-09,Jakarta Pusat,41,19,30,50,12
2011-02-09,Jakarta Barat,,,,,
2011-02-10,Jakarta Utara,34,11,21,64,20
2011-02-10,Jakarta Selatan,,3,25,42,7
2011-02-10,Jakarta Pusat,54,18,30,48,15
2011-02-10,Jakarta Barat,,,,,
2011-02-10,Jakarta Timur,73,4,38,64,21
2011-02-11,Jakarta Utara,69,14,42,76,23
2011-02-11,Jakarta Selatan,,3,53,49,12
2011-02-11,Jakarta Pusat,78,21,49,96,24
2011-02-11,Jakarta Barat,,,,,
2011-02-11,Jakarta Timur,,5,55,99,21
2011-02-12,Jakarta Timur,81,3,34,82,18
2011-02-12,Jakarta Barat,,,,,
2011-02-12,Jakarta Utara,44,11,23,54,15
2011-02-12,Jakarta Pusat,60,17,33,48,14
2011-02-12,Jakarta Selatan,,3,79,85,11
2011-02-13,Jakarta Pusat,57,18,26,54,12
2011-02-13,Jakarta Utara,44,12,20,55,14
2011-02-13,Jakarta Selatan,,4,34,97,13
2011-02-13,Jakarta Timur,71,3,21,74,16
2011-02-13,Jakarta Barat,,,,,
2011-02-14,Jakarta Selatan,,3,23,49,9
2011-02-14,Jakarta Barat,,,,,
2011-02-14,Jakarta Timur,62,3,16,35,18
2011-02-14,Jakarta Pusat,41,12,39,42,13
2011-02-14,Jakarta Utara,35,8,22,43,14
2011-02-15,Jakarta Selatan,27,3,35,45,11
2011-02-15,Jakarta Barat,,,,,
2011-02-15,Jakarta Utara,32,10,31,32,13
2011-02-15,Jakarta Pusat,48,15,53,37,13
2011-02-15,Jakarta Timur,55,4,39,52,20
2011-02-16,Jakarta Selatan,31,3,30,47,9
2011-02-16,Jakarta Barat,,,,,
2011-02-16,Jakarta Timur,65,3,39,35,22
2011-02-16,Jakarta Pusat,51,16,21,34,13
2011-02-16,Jakarta Utara,37,8,25,39,17
2011-02-17,Jakarta Pusat,46,22,33,34,16
2011-02-17,Jakarta Barat,,,,,
2011-02-17,Jakarta Selatan,20,3,31,61,9
2011-02-17,Jakarta Timur,59,3,23,53,17
2011-02-17,Jakarta Utara,30,8,22,35,18
2011-02-18,Jakarta Pusat,36,18,24,39,13
2011-02-18,Jakarta Utara,20,6,15,31,16
2011-02-18,Jakarta Selatan,21,2,18,58,7
2011-02-18,Jakarta Timur,59,2,22,50,17
2011-02-18,Jakarta Barat,,,,,
2011-02-19,Jakarta Timur,59,3,33,42,21
2011-02-19,Jakarta Pusat,46,21,26,33,12
2011-02-19,Jakarta Utara,26,11,13,29,14
2011-02-19,Jakarta Barat,,,,,
2011-02-19,Jakarta Selatan,19,2,31,45,10
2011-02-20,Jakarta Barat,,,,,
2011-02-20,Jakarta Selatan,15,2,11,45,4
2011-02-20,Jakarta Utara,27,8,19,36,14
2011-02-20,Jakarta Timur,53,3,21,46,17
