tanggal,pm10,so2,co,o3,no2
2011-01-01,52,17,51,46,7
2011-01-02,35,15,15,47,10
2011-01-03,41,16,28,21,14
2011-01-04,34,17,19,26,11
2011-01-05,34,12,21,35,10
2011-01-06,28,11,30,42,16
2011-01-07,37,17,28,30,13
2011-01-08,57,22,37,23,14
2011-01-09,---,20,34,31,13
2011-01-10,---,19,21,28,13
2011-01-11,46,18,24,31,11
2011-01-12,43,20,28,27,10
2011-01-13,49,16,28,34,14
2011-01-14,44,15,24,37,13
2011-01-15,39,15,26,32,15
2011-01-16,32,13,16,22,8
2011-01-17,32,14,20,36,10
2011-01-18,33,12,31,38,17
2011-01-19,42,13,31,33,14
2011-01-20,49,16,25,31,14
2011-01-21,50,13,39,42,21
2011-01-22,58,16,44,36,16
2011-01-23,50,14,40,39,12
2011-01-24,57,20,31,36,10
2011-01-25,44,23,27,37,13
2011-01-26,46,24,26,37,10
2011-01-27,42,20,24,37,11
2011-01-28,43,14,31,37,11
2011-01-29,24,14,23,33,10
2011-01-30,37,16,25,31,13
2011-01-31,30,14,22,19,8
2011-02-01,37,20,22,26,11
2011-02-02,49,18,29,32,11
2011-02-03,39,16,24,40,10
2011-02-04,41,16,27,33,12
2011-02-05,44,14,39,29,14
2011-02-06,29,15,21,30,16
2011-02-07,41,16,24,29,12
2011-02-08,39,17,28,44,11
2011-02-09,41,19,30,50,12
2011-02-10,54,18,30,48,15
2011-02-11,78,21,49,96,24
2011-02-12,60,17,33,48,14
2011-02-13,57,18,26,54,12
2011-02-14,41,12,39,42,13
2011-02-15,48,15,53,37,13
2011-02-16,51,16,21,34,13
2011-02-17,46,22,33,34,16
2011-02-18,36,18,24,39,13
2011-02-19,46,21,26,33,12
2011-02-20,42,17,24,46,13
2011-02-21,43,16,22,40,13
2011-02-22,46,15,23,42,12
2011-02-23,47,15,26,41,11
2011-02-24,---,---,---,---,---
2011-02-25,---,---,---,---,---
2011-02-26,39,14,24,29,12
2011-02-27,39,15,32,26,15
2011-02-28,39,16,29,22,12
2011-03-01,21,14,26,21,8
2011-03-02,28,15,21,34,7
2011-03-03,29,16,22,25,9
2011-03-04,32,18,27,26,13
2011-03-05,33,17,35,33,13
2011-03-06,30,14,24,23,6
2011-03-07,25,14,17,17,5
2011-03-08,27,14,20,30,9
2011-03-09,31,17,25,33,11
2011-03-10,32,17,26,30,14
2011-03-11,28,15,24,37,10
2011-03-12,35,17,26,54,10
2011-03-13,46,17,25,45,11
2011-03-14,56,15,47,24,11
2011-03-15,41,16,25,37,12
2011-03-16,39,19,35,53,18
2011-03-17,57,19,54,73,21
2011-03-18,55,22,33,47,20
2011-03-19,56,17,26,71,23
2011-03-20,54,15,32,50,22
2011-03-21,31,13,20,38,8
2011-03-22,29,15,22,22,8
2011-03-23,25,15,22,22,7
2011-03-24,22,14,18,24,7
2011-03-25,22,14,22,27,10
2011-03-26,25,13,22,27,8
2011-03-27,23,13,19,28,9
2011-03-28,21,13,15,21,8
2011-03-29,21,13,16,20,6
2011-03-30,23,14,19,23,6
2011-03-31,25,14,21,21,7
2011-04-01,23,14,20,21,5
2011-04-02,24,15,24,25,6
2011-04-03,24,14,13,22,7
2011-04-04,26,15,23,25,9
2011-04-05,23,14,21,27,7
2011-04-06,25,14,19,23,6
2011-04-07,27,15,20,28,8
2011-04-08,40,18,24,44,12
2011-04-09,50,21,33,24,12
2011-04-10,39,16,23,42,9
2011-04-11,40,17,30,37,11
2011-04-12,62,22,35,67,19
2011-04-13,62,23,32,82,17
2011-04-14,62,22,35,55,26
2011-04-15,65,23,36,76,23
2011-04-16,58,18,29,88,34
2011-04-17,---,---,---,---,---
2011-04-18,---,---,---,---,---
2011-04-19,---,17,---,70,---
2011-04-20,64,23,30,66,19
2011-04-21,58,19,33,51,21
2011-04-22,55,16,26,125,15
2011-04-23,51,15,18,82,13
2011-04-24,53,15,27,83,16
2011-04-25,55,17,36,70,14
2011-04-26,57,24,27,61,15
2011-04-27,53,25,34,71,22
2011-04-28,54,18,32,68,15
2011-04-29,56,19,27,60,14
2011-04-30,62,19,42,78,22
2011-05-01,59,18,51,88,20
2011-05-02,39,19,35,93,21
2011-05-03,61,22,31,69,14
2011-05-04,39,18,26,47,12
2011-05-05,39,17,28,63,11
2011-05-06,46,22,36,62,14
2011-05-07,39,22,30,63,10
2011-05-08,44,15,29,50,10
2011-05-09,---,---,---,---,---
2011-05-10,57,20,29,107,19
2011-05-11,57,19,30,89,20
2011-05-12,60,19,31,75,17
2011-05-13,59,18,35,87,18
2011-05-14,60,17,33,72,19
2011-05-15,55,16,31,85,13
2011-05-16,53,17,30,89,22
2011-05-17,55,18,28,77,18
2011-05-18,52,18,34,77,19
2011-05-19,67,20,41,71,19
2011-05-20,53,20,36,78,19
2011-05-21,---,---,---,---,---
2011-05-22,---,---,---,---,---
2011-05-23,---,---,---,---,---
2011-05-24,55,19,34,3,19
2011-05-25,55,21,37,4,19
2011-05-26,58,19,40,5,22
2011-05-27,59,21,37,48,18
2011-05-28,59,21,30,68,15
2011-05-29,62,23,19,89,14
2011-05-30,61,20,32,51,18
2011-05-31,62,21,35,79,26
2011-06-01,76,21,70,51,20
2011-06-02,56,17,25,59,9
2011-06-03,48,19,18,48,7
2011-06-04,46,21,16,44,7
2011-06-05,47,17,25,52,9
2011-06-06,52,17,37,60,21
2011-06-07,65,15,41,59,20
2011-06-08,67,15,35,62,17
2011-06-09,57,12,37,56,18
2011-06-10,53,13,32,64,18
2011-06-11,65,22,29,55,20
2011-06-12,59,21,20,64,14
2011-06-13,57,18,29,68,16
2011-06-14,62,23,27,66,20
2011-06-15,---,23,41,81,23
2011-06-16,60,23,35,70,19
2011-06-17,61,20,31,67,16
2011-06-18,51,10,24,83,14
2011-06-19,57,10,20,77,13
2011-06-20,55,12,32,63,25
2011-06-21,60,15,30,45,26
2011-06-22,62,15,29,71,21
2011-06-23,68,13,29,77,19
2011-06-24,67,14,29,67,16
2011-06-25,66,11,27,51,13
2011-06-26,60,12,18,46,12
2011-06-27,56,12,23,38,14
2011-06-28,59,10,28,76,18
