tanggal,pm10,so2,co,o3,no2
2011-01-01,---,5,7,76,2
2011-01-02,---,5,6,42,2
2011-01-03,---,5,12,31,5
2011-01-04,---,5,5,77,2
2011-01-05,56,---,15,61,10
2011-01-06,53,---,30,94,---
2011-01-07,50,4,8,67,---
2011-01-08,70,4,25,69,7
2011-01-09,74,5,34,78,11
2011-01-10,55,2,8,89,---
2011-01-11,49,3,8,63,---
2011-01-12,57,3,9,58,---
2011-01-13,67,3,14,73,9
2011-01-14,70,2,9,55,3
2011-01-15,90,2,8,58,3
2011-01-16,55,2,8,22,2
2011-01-17,55,2,12,46,5
2011-01-18,80,2,29,48,6
2011-01-19,---,2,70,48,7
2011-01-20,---,2,24,44,8
2011-01-21,---,2,28,55,18
2011-01-22,---,3,23,49,11
2011-01-23,---,3,51,48,7
2011-01-24,---,2,25,44,5
2011-01-25,---,4,25,46,10
2011-01-26,---,3,13,63,4
2011-01-27,94,3,21,40,5
2011-01-28,---,2,28,36,6
2011-01-29,---,2,8,45,4
2011-01-30,---,2,15,42,6
2011-01-31,---,2,8,24,2
2011-02-01,---,2,12,25,3
2011-02-02,---,4,15,45,3
2011-02-03,---,4,9,42,3
2011-02-04,---,5,10,42,6
2011-02-05,---,2,31,21,5
2011-02-06,---,2,5,22,1
2011-02-07,---,3,10,37,4
2011-02-08,---,3,19,42,9
2011-02-09,---,2,11,48,3
2011-02-10,---,3,25,42,7
2011-02-11,---,3,53,49,12
2011-02-12,---,3,79,85,11
2011-02-13,---,4,34,97,13
2011-02-14,---,3,23,49,9
2011-02-15,27,3,35,45,11
2011-02-16,31,3,30,47,9
2011-02-17,20,3,31,61,9
2011-02-18,21,2,18,58,7
2011-02-19,19,2,31,45,10
2011-02-20,15,2,11,45,4
2011-02-21,21,3,12,56,4
2011-02-22,17,2,33,52,8
2011-02-23,15,3,22,59,6
2011-02-24,26,3,8,28,6
2011-02-25,21,3,22,36,7
2011-02-26,20,2,18,33,6
2011-02-27,24,2,23,25,6
2011-02-28,19,2,17,22,4
