tanggal,pm10,so2,co,o3,no2
2011-01-01,---,2,14,47,5
2011-01-02,---,3,10,36,5
2011-01-03,---,2,35,18,11
2011-01-04,53,---,---,46,---
2011-01-05,59,---,---,38,---
2011-01-06,57,---,---,57,17
2011-01-07,57,4,12,44,17
2011-01-08,70,6,37,28,14
2011-01-09,70,3,31,37,18
2011-01-10,54,3,8,41,7
2011-01-11,52,4,14,41,12
2011-01-12,60,4,14,31,15
2011-01-13,71,5,24,51,18
2011-01-14,61,3,11,50,10
2011-01-15,---,---,---,---,---
2011-01-16,66,2,11,16,8
2011-01-17,67,3,18,39,7
2011-01-18,---,---,---,---,---
2011-01-19,---,5,55,---,---
2011-01-20,---,3,26,---,---
2011-01-21,---,3,43,47,13
2011-01-22,65,4,39,50,23
2011-01-23,67,3,59,48,12
2011-01-24,63,4,32,36,17
2011-01-25,60,7,25,59,19
2011-01-26,58,8,20,70,17
2011-01-27,71,4,26,33,19
2011-01-28,68,3,38,34,16
2011-01-29,48,2,12,40,12
2011-01-30,56,3,15,40,11
2011-01-31,47,2,10,21,8
2011-02-01,56,3,18,29,8
2011-02-02,60,4,23,40,16
2011-02-03,50,4,20,48,8
2011-02-04,49,4,15,34,16
2011-02-05,56,3,44,28,19
2011-02-06,38,2,13,38,9
2011-02-07,51,3,20,32,16
2011-02-08,57,3,38,53,18
2011-02-09,55,3,14,70,14
2011-02-10,73,4,38,64,21
2011-02-11,---,5,55,99,21
2011-02-12,81,3,34,82,18
2011-02-13,71,3,21,74,16
2011-02-14,62,3,16,35,18
2011-02-15,55,4,39,52,20
2011-02-16,65,3,39,35,22
2011-02-17,59,3,23,53,17
2011-02-18,59,2,22,50,17
2011-02-19,59,3,33,42,21
2011-02-20,53,3,21,46,17
2011-02-21,55,3,17,48,9
2011-02-22,68,3,47,44,19
2011-02-23,63,3,27,43,14
2011-02-24,47,3,23,47,19
2011-02-25,61,4,23,42,18
2011-02-26,62,3,23,44,18
2011-02-27,55,3,38,27,22
2011-02-28,52,3,33,21,16
2011-03-01,40,2,10,19,7
2011-03-02,40,2,10,20,7
2011-03-03,53,3,17,36,6
2011-03-04,51,2,13,24,8
2011-03-05,40,3,11,25,7
2011-03-06,51,3,18,15,10
2011-03-07,54,3,15,25,11
2011-03-08,43,2,7,20,6
2011-03-09,51,3,9,31,9
2011-03-10,54,3,17,43,17
2011-03-11,58,3,13,48,10
2011-03-12,54,3,18,38,13
2011-03-13,67,4,19,42,12
2011-03-14,68,3,32,22,11
2011-03-15,71,4,18,45,17
2011-03-16,59,3,17,57,18
2011-03-17,67,4,15,84,17
2011-03-18,87,3,21,52,18
2011-03-19,78,3,29,60,13
2011-03-20,61,3,28,72,23
2011-03-21,52,2,14,29,9
2011-03-22,52,2,10,28,6
2011-03-23,51,2,8,17,7
2011-03-24,47,3,8,21,8
2011-03-25,47,3,15,32,6
2011-03-26,51,3,10,24,7
2011-03-27,55,3,16,21,7
2011-03-28,44,2,5,18,5
2011-03-29,45,3,10,13,8
2011-03-30,49,3,10,14,5
2011-03-31,42,3,7,14,7
2011-04-01,45,2,10,14,7
2011-04-02,48,2,7,17,6
2011-04-03,52,2,8,18,6
2011-04-04,50,3,13,24,10
2011-04-05,59,3,9,22,10
2011-04-06,52,2,7,21,8
2011-04-07,57,3,9,19,7
2011-04-08,55,4,13,32,12
2011-04-09,---,4,26,27,14
2011-04-10,---,3,18,29,10
2011-04-11,---,5,18,44,23
2011-04-12,72,7,29,81,16
2011-04-13,80,5,21,51,25
2011-04-14,---,---,---,---,---
2011-04-15,---,6,27,99,20
2011-04-16,84,5,22,90,23
2011-04-17,77,4,51,89,15
2011-04-18,64,3,22,109,18
2011-04-19,65,4,38,116,29
2011-04-20,77,4,28,84,19
2011-04-21,62,6,22,94,27
2011-04-22,66,6,21,122,22
2011-04-23,62,4,12,69,22
2011-04-24,64,3,27,40,14
2011-04-25,65,4,39,68,16
2011-04-26,71,5,22,62,14
2011-04-27,68,4,43,60,22
2011-04-28,62,4,22,51,11
2011-04-29,77,4,19,54,20
2011-04-30,74,4,35,56,18
2011-05-01,71,4,54,66,31
2011-05-02,61,5,16,98,12
2011-05-03,69,6,22,35,18
2011-05-04,63,4,19,32,17
2011-05-05,76,4,20,25,16
2011-05-06,58,4,34,63,23
2011-05-07,63,3,38,66,14
2011-05-08,56,4,42,32,13
2011-05-09,51,5,20,153,27
2011-05-10,78,5,27,127,24
2011-05-11,79,5,22,76,29
2011-05-12,84,4,32,57,18
2011-05-13,---,3,27,65,16
2011-05-14,66,3,33,64,27
2011-05-15,66,3,30,70,20
2011-05-16,61,5,26,96,27
