tanggal,pm10,so2,co,o3,no2
2020-01-01,38.0,11.0,25.0,41.0,3.0
2020-01-02,36.0,11.0,39.0,44.0,4.0
2020-01-03,51.0,11.0,27.0,51.0,7.0
2020-01-04,51.0,11.0,18.0,51.0,9.0
2020-01-05,52.0,12.0,25.0,57.0,4.0
2020-01-06,62.0,11.0,39.0,46.0,7.0
2020-01-07,38.0,11.0,22.0,52.0,6.0
2020-01-08,47.0,10.0,20.0,44.0,5.0
2020-01-09,67.0,11.0,58.0,46.0,13.0
2020-01-10,31.0,11.0,27.0,38.0,7.0
2020-01-11,37.0,82.0,38.0,32.0,58.0
2020-01-11,26.0,11.0,20.0,31.0,5.0
2020-01-12,30.0,11.0,17.0,41.0,7.0
2020-01-13,42.0,11.0,15.0,39.0,6.0
2020-01-14,38.0,11.0,14.0,40.0,5.0
2020-01-15,44.0,11.0,16.0,63.0,6.0
2020-01-16,67.0,11.0,41.0,78.0,12.0
2020-01-17,52.0,12.0,40.0,119.0,12.0
2020-01-18,44.0,12.0,25.0,60.0,5.0
2020-01-19,76.0,14.0,62.0,110.0,10.0
2020-01-20,50.0,12.0,20.0,65.0,6.0
2020-01-21,62.0,12.0,41.0,50.0,15.0
2020-01-22,58.0,12.0,43.0,64.0,13.0
2020-01-23,53.0,14.0,24.0,59.0,6.0
2020-01-24,50.0,14.0,31.0,44.0,12.0
2020-01-25,40.0,14.0,34.0,35.0,5.0
2020-01-26,45.0,15.0,43.0,84.0,9.0
2020-01-27,36.0,14.0,29.0,78.0,11.0
2020-01-28,62.0,13.0,39.0,74.0,9.0
2020-01-29,70.0,13.0,42.0,79.0,10.0
2020-01-30,37.0,13.0,17.0,65.0,12.0
2020-01-31,45.0,14.0,27.0,54.0,8.0
2020-02-01,44.0,15.0,39.0,38.0,10.0
2020-02-02,38.0,15.0,35.0,45.0,8.0
2020-02-03,41.0,15.0,50.0,37.0,8.0
2020-02-04,40.0,15.0,53.0,38.0,8.0
2020-02-05,67.0,14.0,57.0,49.0,12.0
2020-02-06,55.0,14.0,26.0,45.0,8.0
2020-02-07,51.0,14.0,28.0,50.0,7.0
2020-02-08,26.0,14.0,20.0,48.0,10.0
2020-02-09,46.0,14.0,35.0,46.0,11.0
2020-02-10,44.0,15.0,27.0,52.0,9.0
2020-02-11,68.0,41.0,38.0,13.0,26.0
2020-02-11,53.0,16.0,26.0,45.0,9.0
2020-02-12,48.0,16.0,19.0,126.0,6.0
2020-02-13,55.0,16.0,23.0,68.0,9.0
2020-02-14,57.0,15.0,36.0,56.0,8.0
2020-02-15,62.0,15.0,46.0,108.0,8.0
2020-02-16,52.0,17.0,35.0,55.0,15.0
2020-02-17,38.0,16.0,30.0,59.0,10.0
2020-02-18,51.0,16.0,47.0,58.0,11.0
2020-02-19,53.0,16.0,28.0,35.0,6.0
2020-02-20,43.0,15.0,21.0,35.0,7.0
2020-02-21,33.0,15.0,25.0,38.0,7.0
2020-02-22,55.0,14.0,75.0,41.0,11.0
2020-02-23,39.0,13.0,37.0,38.0,6.0
2020-02-24,32.0,14.0,21.0,39.0,4.0
2020-02-25,31.0,13.0,25.0,44.0,3.0
2020-02-26,49.0,15.0,27.0,49.0,6.0
2020-02-27,48.0,16.0,40.0,38.0,10.0
2020-02-28,50.0,15.0,33.0,48.0,13.0
2020-02-29,51.0,16.0,52.0,45.0,10.0
2020-03-01,43.0,16.0,23.0,54.0,8.0
2020-03-02,34.0,16.0,30.0,55.0,14.0
