tanggal,pm10,so2,co,o3,no2
2016-01-01,72.0,32.0,12.0,37.0,11.0
2016-01-02,42.0,32.0,8.0,34.0,7.0
2016-01-03,37.0,33.0,9.0,48.0,9.0
2016-01-04,61.0,33.0,6.0,40.0,20.0
2016-01-05,99.0,33.0,24.0,55.0,21.0
2016-01-06,75.0,33.0,9.0,32.0,11.0
2016-01-07,75.0,33.0,8.0,41.0,12.0
2016-01-08,60.0,33.0,5.0,35.0,7.0
2016-01-09,77.0,33.0,8.0,36.0,8.0
2016-01-10,83.0,33.0,7.0,61.0,11.0
2016-01-11,82.0,35.0,13.0,65.0,12.0
2016-01-12,65.0,25.0,23.0,28.0,14.0
2016-01-13,72.0,35.0,11.0,40.0,12.0
2016-01-14,61.0,34.0,19.0,30.0,12.0
2016-01-15,57.0,34.0,22.0,34.0,10.0
2016-01-16,68.0,35.0,21.0,39.0,10.0
2016-01-17,68.0,35.0,22.0,71.0,15.0
2016-01-18,94.0,38.0,20.0,96.0,17.0
2016-01-19,96.0,36.0,17.0,67.0,11.0
2016-01-20,77.0,39.0,17.0,70.0,13.0
2016-01-21,59.0,36.0,14.0,49.0,10.0
2016-01-22,59.0,37.0,15.0,34.6,11.0
2016-01-23,79.0,36.0,15.0,76.0,13.0
2016-01-24,55.0,37.0,17.0,65.6,9.0
2016-01-25,53.0,36.0,15.0,82.6,8.0
2016-01-26,37.0,36.0,15.0,87.2,8.0
2016-01-27,61.0,36.0,17.0,100.6,7.0
2016-01-28,80.0,36.0,14.0,79.8,10.0
2016-01-29,64.0,36.0,13.0,75.8,11.0
2016-01-30,69.0,37.0,14.0,83.2,14.0
2016-01-31,80.0,19.0,21.8,89.0,10.4
2016-02-01,80.0,19.0,21.8,89.0,10.4
2016-02-02,71.0,25.2,18.2,68.0,12.0
2016-02-03,52.0,32.0,7.0,38.0,9.0
2016-02-04,40.0,9.0,9.0,56.0,8.6
2016-02-05,68.0,13.0,12.0,56.0,11.0
2016-02-06,61.0,11.0,12.0,57.0,13.0
2016-02-07,65.0,12.0,17.0,60.0,9.0
2016-02-08,64.0,8.0,19.0,46.0,8.0
2016-02-09,44.0,8.0,21.0,39.0,8.0
2016-02-10,19.0,8.0,19.0,31.0,4.0
2016-02-11,38.0,8.0,10.0,42.0,7.0
2016-02-12,53.0,8.0,14.0,38.0,7.0
2016-02-13,43.0,8.0,10.0,39.0,12.0
2016-02-14,43.0,25.0,13.0,25.0,5.0
2016-02-15,58.0,10.0,17.0,71.0,8.0
2016-02-16,68.0,12.0,10.0,93.0,10.0
2016-02-17,53.0,9.0,10.0,40.0,8.0
2016-02-18,84.0,10.0,14.0,77.0,15.0
2016-02-19,71.0,8.0,11.0,18.0,10.0
2016-02-20,64.0,8.0,21.0,44.0,11.0
2016-02-21,73.0,9.0,13.0,54.0,12.0
2016-02-22,75.0,8.0,10.0,28.0,15.0
2016-02-23,83.0,8.0,11.0,26.0,9.0
2016-02-24,65.0,8.0,7.0,30.0,11.0
2016-02-25,63.0,8.0,6.0,38.0,12.0
2016-02-26,66.0,8.0,9.0,25.0,13.0
2016-02-27,46.0,8.0,7.0,22.0,9.0
2016-02-28,25.0,8.0,7.0,39.0,8.0
2016-02-29,55.0,9.0,9.0,31.0,8.0
2016-03-01,46.0,10.0,4.0,31.0,11.0
2016-03-02,53.0,8.0,12.0,34.0,12.0
2016-03-03,23.0,8.0,4.0,23.0,9.0
2016-03-04,51.0,8.0,9.0,34.0,8.0
2016-03-05,52.0,9.0,12.0,31.0,8.0
2016-03-06,60.0,9.0,12.0,21.0,6.0
2016-03-07,53.0,9.0,5.0,46.0,7.0
2016-03-08,80.0,11.0,16.0,63.0,13.0
2016-03-09,49.0,9.0,16.0,47.0,9.0
2016-03-10,74.0,9.0,19.0,36.0,17.0
2016-03-11,80.0,9.0,20.0,48.0,10.0
2016-03-12,71.0,9.0,19.0,79.0,12.0
2016-03-13,65.0,9.0,18.0,47.0,17.0
2016-03-14,25.0,24.0,15.0,22.0,6.0
2016-03-15,60.0,11.0,16.0,51.0,13.0
2016-03-16,65.0,12.0,17.0,59.0,9.0
2016-03-17,74.0,12.0,17.0,50.0,12.0
2016-03-18,68.0,12.0,15.0,96.0,20.0
2016-03-19,59.0,11.0,15.0,60.0,11.0
2016-03-20,64.0,11.0,16.0,49.0,13.0
2016-03-21,54.0,11.0,15.0,53.0,9.0
2016-03-22,65.0,11.0,15.0,36.0,11.0
2016-03-23,59.0,11.0,16.0,37.0,11.0
2016-03-24,66.0,14.0,12.0,24.0,8.0
2016-03-25,72.0,14.0,15.6,30.0,11.0
2016-03-26,30.0,13.0,19.0,22.0,9.0
2016-03-27,50.0,16.0,19.0,62.4,7.8
2016-03-28,46.2,16.0,7.0,49.0,9.0
2016-03-29,60.8,15.0,12.0,52.2,11.0
2016-03-30,33.8,18.0,8.0,56.0,6.0
2016-03-31,51.4,14.0,11.0,58.4,9.0
2016-04-01,52.4,15.0,6.0,53.0,8.0
2016-04-02,71.0,16.0,11.0,38.0,15.0
2016-04-03,81.0,15.0,10.0,26.0,11.0
2016-04-04,73.0,14.0,14.0,77.0,12.0
2016-04-05,35.0,14.0,13.0,51.0,8.0
2016-04-06,58.0,16.0,9.0,46.0,13.0
2016-04-07,48.0,16.0,6.0,44.0,8.0
2016-04-08,54.0,16.0,8.0,34.0,9.0
2016-04-09,67.0,15.0,9.0,60.0,10.0
2016-04-10,61.0,16.0,8.0,37.0,10.0
2016-04-11,65.0,16.0,10.0,24.0,19.0
2016-04-12,70.0,14.0,16.0,52.0,10.0
2016-04-13,61.0,15.0,12.0,39.0,10.0
2016-04-14,80.0,14.0,14.0,53.0,9.0
2016-04-15,35.0,24.0,13.0,15.0,5.0
2016-04-16,99.0,19.0,12.0,22.0,16.0
2016-04-17,71.0,18.0,9.0,34.0,13.0
2016-04-18,72.0,18.0,8.0,86.0,9.0
2016-04-19,65.0,14.0,10.0,78.0,10.0
2016-04-20,55.0,15.0,13.0,51.0,8.0
2016-04-21,65.0,14.0,16.0,31.0,7.0
2016-04-22,39.0,15.0,23.0,58.2,7.0
2016-04-23,52.0,14.0,8.0,55.2,10.0
2016-04-24,51.0,14.0,15.0,56.4,10.0
2016-04-25,39.0,13.0,15.0,51.6,13.0
2016-04-26,50.0,16.0,10.0,65.8,11.0
2016-04-27,49.0,17.0,8.0,57.0,7.0
2016-04-28,40.0,14.0,12.0,50.2,6.0
2016-04-29,58.0,15.0,15.0,59.8,12.0
2016-04-30,59.0,16.0,14.0,51.6,13.0
2016-05-01,66.0,15.0,28.0,41.0,12.0
2016-05-02,60.0,17.0,22.0,48.0,12.0
2016-05-03,50.0,18.0,11.0,57.0,8.0
2016-05-04,71.0,16.0,21.0,39.0,10.0
2016-05-05,56.0,14.0,43.0,29.0,10.0
2016-05-06,64.0,15.0,21.0,40.0,12.0
2016-05-07,70.0,17.0,18.0,28.0,6.0
2016-05-08,75.0,14.0,32.0,28.0,7.0
2016-05-09,63.0,14.0,24.0,17.0,6.0
2016-05-10,74.0,15.0,49.0,77.0,12.0
2016-05-11,73.0,16.0,28.0,68.0,8.0
2016-05-12,70.0,14.0,57.0,64.0,15.0
2016-05-13,58.0,15.0,29.0,75.0,12.0
2016-05-14,59.0,15.0,27.0,59.0,8.0
2016-05-15,67.0,17.0,17.0,61.0,6.0
2016-05-16,88.0,18.0,27.0,73.0,14.0
2016-05-17,21.0,24.0,7.0,19.0,4.0
2016-05-18,52.0,17.0,18.0,66.0,11.0
2016-05-19,56.0,15.0,14.0,62.0,11.0
2016-05-20,50.0,16.0,14.0,38.0,5.0
2016-05-21,42.0,15.0,13.0,36.0,11.0
2016-05-22,69.0,16.0,22.0,79.0,13.0
2016-05-23,64.0,17.0,41.0,51.0,9.0
2016-05-24,67.0,17.0,37.0,74.0,11.0
2016-05-25,63.0,20.0,18.0,84.0,17.0
2016-05-26,61.0,15.0,25.0,52.0,21.0
2016-05-27,56.0,15.0,25.0,67.6,14.0
2016-05-28,51.0,16.0,16.0,79.0,11.0
2016-05-29,59.0,16.0,28.0,53.0,15.0
2016-05-30,49.0,17.0,14.0,52.0,11.0
2016-05-31,66.0,17.0,28.0,46.0,13.0
2016-06-01,79.0,17.0,39.0,47.0,16.0
2016-06-02,86.0,19.0,45.0,64.0,10.0
2016-06-03,61.0,18.0,16.0,31.0,13.0
2016-06-04,61.0,19.0,26.0,43.0,12.0
2016-06-05,64.0,19.0,19.0,80.0,8.0
2016-06-06,67.0,20.0,21.0,82.0,8.0
2016-06-07,69.0,17.0,28.0,43.0,9.0
2016-06-08,48.0,18.0,16.0,72.0,12.0
2016-06-09,75.0,20.0,30.0,74.0,9.0
2016-06-10,84.0,18.0,49.0,52.0,16.0
2016-06-11,95.0,19.0,47.0,80.0,11.0
2016-06-12,65.0,17.0,44.0,55.0,13.0
2016-06-13,40.0,17.0,11.0,60.0,14.0
2016-06-14,51.0,17.0,14.0,55.0,12.0
2016-06-15,65.0,18.0,25.0,48.0,15.0
2016-06-16,56.0,17.0,25.0,53.0,9.0
2016-06-17,73.0,19.0,33.0,73.0,11.0
2016-06-18,29.0,24.0,9.0,23.0,5.0
2016-06-19,62.0,17.0,24.0,55.0,14.0
2016-06-20,58.0,19.0,20.0,84.0,12.0
2016-06-21,64.0,21.0,25.0,64.0,14.0
2016-06-22,65.0,22.0,33.0,41.0,19.0
2016-06-23,61.0,21.0,15.0,44.0,11.0
2016-06-24,35.0,16.0,22.0,23.0,12.0
2016-06-25,53.0,20.0,44.0,126.0,9.0
2016-06-26,65.0,19.0,34.0,85.0,10.0
2016-06-27,77.0,20.0,31.0,95.0,20.0
2016-06-28,53.0,18.0,12.0,67.0,10.0
2016-06-29,43.0,18.0,12.0,70.0,11.0
2016-06-30,55.0,17.0,18.0,79.0,14.0
2016-07-01,68.0,20.0,28.0,83.0,19.0
2016-07-02,74.0,20.0,32.0,63.0,14.0
2016-07-03,51.0,16.0,26.0,54.0,7.0
2016-07-04,76.0,9.8,15.8,86.8,11.0
2016-07-05,26.0,19.0,37.0,46.0,19.0
2016-07-06,23.0,17.0,19.0,53.0,12.0
2016-07-07,37.0,18.0,35.0,91.0,10.0
2016-07-08,20.0,18.0,27.0,92.0,14.0
2016-07-09,16.0,17.0,18.0,49.0,7.0
2016-07-10,13.0,17.0,12.0,37.0,6.0
2016-07-11,8.0,17.0,18.0,41.0,8.0
2016-07-12,10.0,17.0,33.0,45.0,9.0
2016-07-13,10.0,18.0,7.0,51.0,5.0
2016-07-14,7.0,17.0,9.0,59.0,7.0
2016-07-15,9.0,18.0,15.0,59.0,7.0
2016-07-16,9.0,19.0,15.0,46.0,7.0
2016-07-17,7.0,19.0,37.0,33.0,9.0
2016-07-18,17.0,17.0,14.0,53.0,7.0
2016-07-19,38.0,24.0,11.0,38.0,7.0
2016-07-20,73.0,18.0,27.0,67.0,10.0
2016-07-21,86.0,18.0,37.0,40.0,10.0
2016-07-22,62.0,19.0,11.0,31.0,6.0
2016-07-23,56.0,17.0,12.0,31.0,8.0
2016-07-24,68.4,18.0,36.0,59.0,8.0
2016-07-25,71.4,18.0,27.0,134.0,10.0
2016-07-26,63.0,21.0,20.0,92.0,12.0
2016-07-27,60.0,19.0,19.0,55.0,9.0
2016-07-28,69.0,21.0,20.0,97.0,10.0
2016-07-29,56.0,19.0,15.0,37.0,8.0
2016-07-30,55.0,21.0,16.0,84.0,11.0
2016-07-31,70.0,20.0,35.0,58.2,10.0
2016-08-01,49.0,18.0,16.0,64.6,8.0
2016-08-02,70.0,21.0,24.0,87.0,9.0
2016-08-03,68.0,22.0,13.0,85.0,14.0
2016-08-04,81.0,22.0,14.0,62.0,13.0
2016-08-05,90.0,22.0,17.0,88.0,12.0
2016-08-06,55.0,20.0,16.0,88.0,14.0
2016-08-07,71.0,20.0,14.0,65.0,8.0
2016-08-08,73.0,20.0,10.0,74.0,9.0
2016-08-09,61.0,21.0,16.0,53.2,11.0
2016-08-10,58.0,22.0,12.0,79.0,12.0
2016-08-11,82.0,21.0,30.0,92.0,14.0
2016-08-12,64.0,22.0,15.0,98.0,19.0
2016-08-13,69.0,21.0,20.0,60.0,13.0
2016-08-14,73.0,26.0,17.0,52.0,17.0
2016-08-15,87.0,21.0,23.0,106.0,11.0
2016-08-16,107.0,21.0,27.0,82.0,15.0
2016-08-17,53.0,21.0,15.0,39.0,9.0
2016-08-18,72.0,22.0,12.0,62.0,14.0
2016-08-19,66.0,22.0,23.0,53.0,8.0
2016-08-20,81.0,25.0,11.0,87.0,10.0
2016-08-21,56.0,21.0,18.0,42.0,14.0
2016-08-22,58.0,21.0,7.0,64.0,7.0
2016-08-23,54.0,22.0,23.0,72.0,13.0
2016-08-24,60.0,20.0,26.0,44.0,12.0
2016-08-25,84.0,21.0,33.0,59.0,17.0
2016-08-26,57.0,21.0,18.0,80.0,9.0
2016-08-27,94.0,23.0,32.0,59.0,9.0
2016-08-28,61.0,25.0,12.0,55.0,11.0
2016-08-29,63.0,21.0,10.0,70.0,9.0
2016-08-30,64.0,21.0,12.0,65.0,12.0
2016-08-31,58.0,22.0,12.0,78.8,9.0
2016-09-01,64.0,23.0,14.0,58.4,9.0
2016-09-02,63.0,24.0,13.0,49.0,10.0
2016-09-03,50.0,20.0,14.0,49.0,9.0
2016-09-04,91.0,26.0,11.0,71.0,14.0
2016-09-05,42.0,19.0,16.0,111.0,14.0
2016-09-06,54.0,26.0,16.0,61.0,14.0
2016-09-07,67.0,24.0,16.0,74.0,8.0
2016-09-08,66.0,23.0,19.0,56.0,11.0
2016-09-09,69.0,21.0,21.0,52.0,8.0
2016-09-10,64.0,21.0,18.0,56.0,9.0
2016-09-11,55.0,21.0,9.0,60.0,10.0
2016-09-12,50.0,25.0,13.0,79.0,8.0
2016-09-13,52.0,21.0,14.0,45.0,10.0
2016-09-14,65.0,21.0,22.0,83.0,10.0
2016-09-15,51.0,21.0,12.0,71.0,12.0
2016-09-16,59.0,21.0,23.0,69.0,12.0
2016-09-17,58.0,21.0,11.0,69.0,13.0
2016-09-18,69.0,23.0,13.0,70.0,9.0
2016-09-19,59.0,22.0,10.0,64.0,8.0
2016-09-20,43.0,23.0,21.0,60.0,9.0
2016-09-21,51.0,22.0,16.0,57.0,12.0
2016-09-22,52.0,24.0,8.0,142.0,7.0
2016-09-23,57.0,24.0,7.0,101.0,15.0
2016-09-24,54.0,23.0,14.0,37.0,8.0
2016-09-25,42.0,21.0,25.0,51.0,9.0
2016-09-26,80.0,26.0,15.0,88.0,12.0
2016-09-27,33.0,21.0,12.0,41.0,7.0
2016-09-28,78.0,24.0,17.0,67.0,11.0
2016-09-29,62.0,23.0,20.0,62.0,12.0
2016-09-30,79.0,23.0,16.0,69.0,10.0
2016-10-01,60.0,20.0,36.0,68.0,8.0
2016-10-02,59.0,23.0,15.0,62.0,10.0
2016-10-03,75.0,21.0,26.0,95.8,10.0
2016-10-04,40.0,22.0,11.0,63.0,7.0
2016-10-05,52.0,23.0,14.0,46.0,9.0
2016-10-06,81.0,21.0,26.0,55.2,12.0
2016-10-07,78.0,21.0,38.0,53.6,17.0
2016-10-08,33.0,24.0,12.0,28.0,7.0
2016-10-09,61.0,23.0,32.0,48.0,12.0
2016-10-10,45.0,21.0,17.0,21.0,5.0
2016-10-11,56.0,23.0,10.0,94.0,7.0
2016-10-12,66.0,22.0,18.0,72.0,12.0
2016-10-13,69.0,14.0,40.0,99.0,15.0
2016-10-14,53.0,23.0,13.0,108.0,10.0
2016-10-15,73.0,24.0,18.0,106.0,12.0
2016-10-16,52.0,17.4,13.2,44.4,15.2
2016-10-17,57.0,23.0,15.0,70.0,11.0
2016-10-18,44.0,19.6,14.0,68.2,10.6
2016-10-19,59.0,22.4,37.2,80.2,10.0
2016-10-20,62.0,23.0,27.0,33.0,13.0
2016-10-21,48.0,25.0,15.0,21.0,7.0
2016-10-22,74.0,24.0,23.0,63.0,8.0
2016-10-23,67.0,24.0,74.0,20.0,12.0
2016-10-24,53.0,23.0,16.0,50.0,10.0
2016-10-25,53.0,23.0,18.0,43.0,8.0
2016-10-26,63.0,24.0,13.0,82.0,8.0
2016-10-27,66.0,24.0,15.0,77.0,20.0
2016-10-28,56.0,23.0,11.0,59.0,9.0
2016-10-29,82.0,26.0,15.0,88.0,13.0
2016-10-30,81.0,24.0,18.0,71.0,13.0
2016-10-31,85.0,24.0,27.0,51.0,13.0
2016-11-01,34.0,22.0,9.0,27.0,6.0
2016-11-02,52.0,25.0,26.0,76.0,8.0
2016-11-03,59.0,23.0,23.0,64.0,12.0
2016-11-04,50.0,25.0,13.0,52.0,11.0
2016-11-05,59.0,26.0,13.0,68.0,14.0
2016-11-06,55.0,24.0,27.0,80.0,12.0
2016-11-07,54.0,23.0,34.0,47.0,8.0
2016-11-08,48.0,23.0,23.0,64.0,6.0
2016-11-09,50.0,27.0,19.0,89.0,16.0
2016-11-10,46.0,23.0,14.0,42.0,11.0
2016-11-11,40.0,22.0,21.0,23.0,7.0
2016-11-12,55.0,25.0,13.0,62.0,6.0
2016-11-13,61.0,30.0,16.0,94.0,16.0
2016-11-14,67.0,23.0,13.0,104.0,12.0
2016-11-15,128.0,23.0,32.0,97.0,14.0
2016-11-16,79.0,23.0,24.0,96.0,14.0
2016-11-17,50.0,27.0,11.0,80.0,9.0
2016-11-18,66.0,23.0,17.0,62.0,11.0
2016-11-19,57.0,27.0,12.0,72.0,12.0
2016-11-20,62.0,23.0,10.0,103.0,12.0
2016-11-21,53.0,23.0,17.0,61.0,10.0
2016-11-22,33.0,24.0,10.0,38.0,4.0
2016-11-23,38.0,23.0,17.0,56.0,11.0
2016-11-24,50.0,23.0,17.0,118.0,9.0
2016-11-25,51.0,23.0,21.0,58.0,8.0
2016-11-26,55.0,23.0,30.0,104.0,9.0
2016-11-27,59.0,23.0,11.0,100.0,10.0
2016-11-28,74.0,24.0,23.0,48.0,15.0
2016-11-29,58.0,24.0,31.0,55.0,13.0
2016-11-30,60.0,23.0,25.0,43.0,10.0
2016-12-01,61.0,24.0,17.0,37.0,13.0
2016-12-02,65.0,20.8,20.0,60.2,13.0
2016-12-03,66.0,25.6,18.8,53.2,13.4
2016-12-04,64.0,22.0,34.8,76.2,12.0
2016-12-05,49.0,24.0,11.0,26.0,8.0
2016-12-06,75.0,25.0,19.0,66.0,12.0
2016-12-07,93.0,24.0,41.0,50.0,9.0
2016-12-08,82.0,24.0,26.0,45.0,14.0
2016-12-09,42.0,24.0,17.0,70.0,10.0
2016-12-10,58.0,25.0,21.0,59.0,10.0
2016-12-11,61.0,25.0,22.0,70.0,8.0
2016-12-12,32.0,24.0,19.0,31.0,7.0
2016-12-13,47.0,25.0,11.0,20.0,8.0
2016-12-14,36.0,25.0,8.0,26.0,5.0
2016-12-15,45.0,25.0,33.0,14.0,7.0
2016-12-16,33.0,25.0,12.0,30.0,5.0
2016-12-17,34.0,25.0,7.0,33.0,6.0
2016-12-18,33.0,25.0,19.0,24.0,9.0
2016-12-19,23.0,25.0,6.0,26.0,6.0
2016-12-20,22.0,25.0,5.0,17.0,3.0
2016-12-21,22.0,25.0,4.0,17.0,3.0
2016-12-22,25.0,25.0,4.0,16.0,3.0
2016-12-23,22.0,25.0,4.0,15.0,3.0
2016-12-24,25.0,25.0,4.0,16.0,2.0
2016-12-25,30.0,25.0,5.0,20.0,2.0
2016-12-26,52.0,26.0,14.0,47.0,5.0
2016-12-27,29.0,26.0,5.0,40.0,5.0
2016-12-28,30.0,26.0,5.0,23.0,3.0
2016-12-29,37.0,26.0,12.0,31.0,4.0
2016-12-30,58.0,26.0,19.0,29.0,7.0
2016-12-31,54.0,26.0,24.0,28.0,7.0
2017-01-01,69.0,27.0,23.0,54.0,5.0
2017-01-02,35.0,26.0,7.0,36.0,4.0
2017-01-03,55.0,26.0,7.0,66.8,5.0
2017-01-04,51.0,26.0,13.0,87.0,7.0
2017-01-05,48.0,27.0,16.0,67.0,9.0
2017-01-06,38.0,26.0,10.0,64.0,7.0
2017-01-07,32.0,26.0,11.0,67.0,5.0
2017-01-08,43.0,28.0,14.0,54.0,5.0
2017-01-09,38.0,27.0,10.0,55.0,4.0
2017-01-10,59.0,27.0,14.0,48.0,8.0
2017-01-11,49.0,27.0,12.0,48.0,7.0
2017-01-12,25.0,26.0,7.0,26.0,5.0
2017-01-13,19.0,27.0,4.0,16.0,3.0
2017-01-14,21.0,27.0,4.0,16.0,3.0
2017-01-15,29.0,27.0,12.0,27.0,4.0
2017-01-16,27.0,20.0,12.6,41.8,6.6
2017-01-17,20.0,27.0,4.0,26.0,3.0
2017-01-18,28.0,27.0,9.0,21.0,3.0
2017-01-19,24.0,27.0,4.0,18.0,3.0
2017-01-20,24.0,27.0,4.0,20.0,3.0
2017-01-21,53.0,28.0,8.0,39.0,5.0
2017-01-22,63.0,27.0,9.0,35.0,4.0
2017-01-23,34.0,28.0,5.0,34.0,4.0
2017-01-24,33.0,28.0,9.0,29.0,2.0
2017-01-25,25.0,27.0,4.0,30.0,3.0
2017-01-26,37.6,28.0,5.0,30.0,4.0
2017-01-27,51.0,28.0,14.0,40.0,7.0
2017-01-28,40.0,28.0,12.0,46.0,4.0
2017-01-29,33.0,28.0,13.0,30.0,8.0
2017-01-30,39.0,28.0,15.0,46.0,3.0
2017-01-31,30.0,28.0,8.0,35.0,5.0
2017-02-01,38.0,28.0,11.0,39.0,6.0
2017-02-02,35.0,28.0,14.0,34.0,4.0
2017-02-03,34.0,28.0,12.0,25.0,5.0
2017-02-04,30.0,28.0,3.0,20.0,3.0
2017-02-05,23.0,28.0,4.2,18.0,2.0
2017-02-06,17.0,28.0,5.6,18.0,2.0
2017-02-07,31.0,28.0,8.0,30.0,4.0
2017-02-08,25.0,29.0,4.0,26.0,5.0
2017-02-09,31.0,29.0,8.0,15.0,3.0
2017-02-10,22.0,28.0,9.0,27.0,3.0
2017-02-11,32.0,29.0,13.0,25.0,5.0
2017-02-12,37.0,28.0,13.0,27.0,6.0
2017-02-13,43.0,29.0,12.0,41.0,6.0
2017-02-14,39.0,29.0,17.0,43.0,5.0
2017-02-15,29.0,29.0,4.0,50.0,6.0
2017-02-16,27.0,29.0,7.0,41.0,6.0
2017-02-17,61.0,29.0,22.0,37.0,7.0
