tanggal,pm10,so2,co,o3,no2
2016-04-01,52.4,15.0,6.0,53.0,8.0
2016-04-02,71.0,16.0,11.0,38.0,15.0
2016-04-03,81.0,15.0,10.0,26.0,11.0
2016-04-04,73.0,14.0,14.0,77.0,12.0
2016-04-05,35.0,14.0,13.0,51.0,8.0
2016-04-06,58.0,16.0,9.0,46.0,13.0
2016-04-07,48.0,16.0,6.0,44.0,8.0
2016-04-08,54.0,16.0,8.0,34.0,9.0
2016-04-09,67.0,15.0,9.0,60.0,10.0
2016-04-10,61.0,16.0,8.0,37.0,10.0
2016-04-11,65.0,16.0,10.0,24.0,19.0
2016-04-12,70.0,14.0,16.0,52.0,10.0
2016-04-13,61.0,15.0,12.0,39.0,10.0
2016-04-14,80.0,14.0,14.0,53.0,9.0
2016-04-15,35.0,24.0,13.0,15.0,5.0
2016-04-16,99.0,19.0,12.0,22.0,16.0
2016-04-17,71.0,18.0,9.0,34.0,13.0
2016-04-18,72.0,18.0,8.0,86.0,9.0
2016-04-19,65.0,14.0,10.0,78.0,10.0
2016-04-20,55.0,15.0,13.0,51.0,8.0
2016-04-21,65.0,14.0,16.0,31.0,7.0
2016-04-22,39.0,15.0,23.0,58.2,7.0
2016-04-23,52.0,14.0,8.0,55.2,10.0
2016-04-24,51.0,14.0,15.0,56.4,10.0
2016-04-25,39.0,13.0,15.0,51.6,13.0
2016-04-26,50.0,16.0,10.0,65.8,11.0
2016-04-27,49.0,17.0,8.0,57.0,7.0
2016-04-28,40.0,14.0,12.0,50.2,6.0
2016-04-29,58.0,15.0,15.0,59.8,12.0
2016-04-30,59.0,16.0,14.0,51.6,13.0
2016-05-01,66.0,15.0,28.0,41.0,12.0
2016-05-02,60.0,17.0,22.0,48.0,12.0
2016-05-03,50.0,18.0,11.0,57.0,8.0
2016-05-04,71.0,16.0,21.0,39.0,10.0
2016-05-05,56.0,14.0,43.0,29.0,10.0
2016-05-06,64.0,15.0,21.0,40.0,12.0
2016-05-07,70.0,17.0,18.0,28.0,6.0
2016-05-08,75.0,14.0,32.0,28.0,7.0
2016-05-09,63.0,14.0,24.0,17.0,6.0
2016-05-10,74.0,15.0,49.0,77.0,12.0
2016-05-11,73.0,16.0,28.0,68.0,8.0
2016-05-12,70.0,14.0,57.0,64.0,15.0
2016-05-13,58.0,15.0,29.0,75.0,12.0
2016-05-14,59.0,15.0,27.0,59.0,8.0
2016-05-15,67.0,17.0,17.0,61.0,6.0
2016-05-16,88.0,18.0,27.0,73.0,14.0
2016-05-17,21.0,24.0,7.0,19.0,4.0
2016-05-18,52.0,17.0,18.0,66.0,11.0
2016-05-19,56.0,15.0,14.0,62.0,11.0
2016-05-20,50.0,16.0,14.0,38.0,5.0
2016-05-21,42.0,15.0,13.0,36.0,11.0
2016-05-22,69.0,16.0,22.0,79.0,13.0
2016-05-23,64.0,17.0,41.0,51.0,9.0
2016-05-24,67.0,17.0,37.0,74.0,11.0
2016-05-25,63.0,20.0,18.0,84.0,17.0
2016-05-26,61.0,15.0,25.0,52.0,21.0
2016-05-27,56.0,15.0,25.0,67.6,14.0
2016-05-28,51.0,16.0,16.0,79.0,11.0
2016-05-29,59.0,16.0,28.0,53.0,15.0
2016-05-30,49.0,17.0,14.0,52.0,11.0
2016-05-31,66.0,17.0,28.0,46.0,13.0
2016-06-01,79.0,17.0,39.0,47.0,16.0
2016-06-02,86.0,19.0,45.0,64.0,10.0
2016-06-03,61.0,18.0,16.0,31.0,13.0
2016-06-04,61.0,19.0,26.0,43.0,12.0
2016-06-05,64.0,19.0,19.0,80.0,8.0
2016-06-06,67.0,20.0,21.0,82.0,8.0
2016-06-07,69.0,17.0,28.0,43.0,9.0
2016-06-08,48.0,18.0,16.0,72.0,12.0
2016-06-09,75.0,20.0,30.0,74.0,9.0
2016-06-10,84.0,18.0,49.0,52.0,16.0
2016-06-11,95.0,19.0,47.0,80.0,11.0
2016-06-12,65.0,17.0,44.0,55.0,13.0
2016-06-13,40.0,17.0,11.0,60.0,14.0
2016-06-14,51.0,17.0,14.0,55.0,12.0
2016-06-15,65.0,18.0,25.0,48.0,15.0
2016-06-16,56.0,17.0,25.0,53.0,9.0
2016-06-17,73.0,19.0,33.0,73.0,11.0
2016-06-18,29.0,24.0,9.0,23.0,5.0
2016-06-19,62.0,17.0,24.0,55.0,14.0
2016-06-20,58.0,19.0,20.0,84.0,12.0
2016-06-21,64.0,21.0,25.0,64.0,14.0
2016-06-22,65.0,22.0,33.0,41.0,19.0
2016-06-23,61.0,21.0,15.0,44.0,11.0
2016-06-24,35.0,16.0,22.0,23.0,12.0
2016-06-25,53.0,20.0,44.0,126.0,9.0
2016-06-26,65.0,19.0,34.0,85.0,10.0
2016-06-27,77.0,20.0,31.0,95.0,20.0
2016-06-28,53.0,18.0,12.0,67.0,10.0
2016-06-29,43.0,18.0,12.0,70.0,11.0
2016-06-30,55.0,17.0,18.0,79.0,14.0
2016-07-01,68.0,20.0,28.0,83.0,19.0
2016-07-02,74.0,20.0,32.0,63.0,14.0
2016-07-03,51.0,16.0,26.0,54.0,7.0
2016-07-04,76.0,9.8,15.8,86.8,11.0
2016-07-05,26.0,19.0,37.0,46.0,19.0
2016-07-06,23.0,17.0,19.0,53.0,12.0
2016-07-07,37.0,18.0,35.0,91.0,10.0
2016-07-08,20.0,18.0,27.0,92.0,14.0
2016-07-09,16.0,17.0,18.0,49.0,7.0
2016-07-10,13.0,17.0,12.0,37.0,6.0
2016-07-11,8.0,17.0,18.0,41.0,8.0
2016-07-12,10.0,17.0,33.0,45.0,9.0
2016-07-13,10.0,18.0,7.0,51.0,5.0
2016-07-14,7.0,17.0,9.0,59.0,7.0
2016-07-15,9.0,18.0,15.0,59.0,7.0
2016-07-16,9.0,19.0,15.0,46.0,7.0
2016-07-17,7.0,19.0,37.0,33.0,9.0
2016-07-18,17.0,17.0,14.0,53.0,7.0
2016-07-19,38.0,24.0,11.0,38.0,7.0
2016-07-20,73.0,18.0,27.0,67.0,10.0
2016-07-21,86.0,18.0,37.0,40.0,10.0
2016-07-22,62.0,19.0,11.0,31.0,6.0
2016-07-23,56.0,17.0,12.0,31.0,8.0
2016-07-24,68.4,18.0,36.0,59.0,8.0
2016-07-25,71.4,18.0,27.0,134.0,10.0
2016-07-26,63.0,21.0,20.0,92.0,12.0
2016-07-27,60.0,19.0,19.0,55.0,9.0
2016-07-28,69.0,21.0,20.0,97.0,10.0
2016-07-29,56.0,19.0,15.0,37.0,8.0
2016-07-30,55.0,21.0,16.0,84.0,11.0
2016-07-31,70.0,20.0,35.0,58.2,10.0
2016-08-01,49.0,18.0,16.0,64.6,8.0
