tanggal,pm10,so2,co,o3,no2
2011-01-01,51.1,14.4,23.6,70.4,11.5
2011-01-02,51.1,14.4,23.6,70.4,11.5
2011-01-03,51.1,14.4,23.6,70.4,11.5
2011-01-04,51.1,14.4,23.6,70.4,11.5
2011-01-05,51.1,14.4,23.6,70.4,11.5
2011-01-06,51.1,14.4,23.6,70.4,11.5
2011-01-07,51.1,14.4,23.6,70.4,11.5
2011-01-08,51.1,14.4,23.6,70.4,11.5
2011-01-09,51.1,14.4,23.6,70.4,11.5
2011-01-10,51.1,14.4,23.6,70.4,11.5
2011-01-11,51.1,14.4,23.6,70.4,11.5
2011-01-12,51.1,14.4,23.6,70.4,11.5
2011-01-13,51.1,14.4,23.6,70.4,11.5
2011-01-14,51.1,14.4,23.6,70.4,11.5
2011-01-15,51.1,14.4,23.6,70.4,11.5
2011-01-16,51.1,14.4,23.6,70.4,11.5
2011-01-17,51.1,14.4,23.6,70.4,11.5
2011-01-18,51.1,14.4,23.6,70.4,11.5
2011-01-19,51.1,14.4,23.6,70.4,11.5
2011-01-20,51.1,14.4,23.6,70.4,11.5
2011-01-21,51.1,14.4,23.6,70.4,11.5
2011-01-22,51.1,14.4,23.6,70.4,11.5
2011-01-23,51.1,14.4,23.6,70.4,11.5
2011-01-24,51.1,14.4,23.6,70.4,11.5
2011-01-25,51.1,14.4,23.6,70.4,11.5
2011-01-26,51.1,14.4,23.6,70.4,11.5
2011-01-27,51.1,14.4,23.6,70.4,11.5
2011-01-28,51.1,14.4,23.6,70.4,11.5
2011-01-29,51.1,14.4,23.6,70.4,11.5
2011-01-30,51.1,14.4,23.6,70.4,11.5
2011-01-31,51.1,14.4,23.6,70.4,11.5
2011-02-01,51.1,14.4,23.6,70.4,11.5
2011-02-02,51.1,14.4,23.6,70.4,11.5
2011-02-03,51.1,14.4,23.6,70.4,11.5
2011-02-04,51.1,14.4,23.6,70.4,11.5
2011-02-05,51.1,14.4,23.6,70.4,11.5
2011-02-06,51.1,14.4,23.6,70.4,11.5
2011-02-07,51.1,14.4,23.6,70.4,11.5
2011-02-08,51.1,14.4,23.6,70.4,11.5
2011-02-09,51.1,14.4,23.6,70.4,11.5
2011-02-10,51.1,14.4,23.6,70.4,11.5
2011-02-11,51.1,14.4,23.6,70.4,11.5
2011-02-12,51.1,14.4,23.6,70.4,11.5
2011-02-13,51.1,14.4,23.6,70.4,11.5
2011-02-14,51.1,14.4,23.6,70.4,11.5
2011-02-15,51.1,14.4,23.6,70.4,11.5
2011-02-16,51.1,14.4,23.6,70.4,11.5
2011-02-17,51.1,14.4,23.6,70.4,11.5
2011-02-18,51.1,14.4,23.6,70.4,11.5
2011-02-19,51.1,14.4,23.6,70.4,11.5
2011-02-20,51.1,14.4,23.6,70.4,11.5
2011-02-21,51.1,14.4,23.6,70.4,11.5
2011-02-22,51.1,14.4,23.6,70.4,11.5
2011-02-23,51.1,14.4,23.6,70.4,11.5
2011-02-24,51.1,14.4,23.6,70.4,11.5
2011-02-25,51.1,14.4,23.6,70.4,11.5
2011-02-26,51.1,14.4,23.6,70.4,11.5
2011-02-27,51.1,14.4,23.6,70.4,11.5
2011-02-28,51.1,14.4,23.6,70.4,11.5
2011-03-01,51.1,14.4,23.6,70.4,11.5
2011-03-02,51.1,14.4,23.6,70.4,11.5
2011-03-03,51.1,14.4,23.6,70.4,11.5
2011-03-04,51.1,14.4,23.6,70.4,11.5
2011-03-05,51.1,14.4,23.6,70.4,11.5
2011-03-06,51.1,14.4,23.6,70.4,11.5
2011-03-07,51.1,14.4,23.6,70.4,11.5
2011-03-08,51.1,14.4,23.6,70.4,11.5
2011-03-09,51.1,14.4,23.6,70.4,11.5
2011-03-10,51.1,14.4,23.6,70.4,11.5
2011-03-11,51.1,14.4,23.6,70.4,11.5
2011-03-12,51.1,14.4,23.6,70.4,11.5
2011-03-13,51.1,14.4,23.6,70.4,11.5
2011-03-14,51.1,14.4,23.6,70.4,11.5
2011-03-15,51.1,14.4,23.6,70.4,11.5
2011-03-16,51.1,14.4,23.6,70.4,11.5
2011-03-17,51.1,14.4,23.6,70.4,11.5
2011-03-18,51.1,14.4,23.6,70.4,11.5
2011-03-19,51.1,14.4,23.6,70.4,11.5
