tanggal,pm10,so2,co,o3,no2
2011-01-01,52.0,17.0,51.0,46.0,7.0
2011-01-02,35.0,15.0,15.0,47.0,10.0
2011-01-03,41.0,16.0,28.0,21.0,14.0
2011-01-04,34.0,17.0,19.0,26.0,11.0
2011-01-05,34.0,12.0,21.0,35.0,10.0
2011-01-06,28.0,11.0,30.0,42.0,16.0
2011-01-07,37.0,17.0,28.0,30.0,13.0
2011-01-08,57.0,22.0,37.0,23.0,14.0
2011-01-09,48.4,20.0,34.0,31.0,13.0
2011-01-10,52.6,19.0,21.0,28.0,13.0
2011-01-11,46.0,18.0,24.0,31.0,11.0
2011-01-12,43.0,20.0,28.0,27.0,10.0
2011-01-13,49.0,16.0,28.0,34.0,14.0
2011-01-14,44.0,15.0,24.0,37.0,13.0
2011-01-15,39.0,15.0,26.0,32.0,15.0
2011-01-16,32.0,13.0,16.0,22.0,8.0
2011-01-17,32.0,14.0,20.0,36.0,10.0
2011-01-18,33.0,12.0,31.0,38.0,17.0
2011-01-19,42.0,13.0,31.0,33.0,14.0
2011-01-20,49.0,16.0,25.0,31.0,14.0
2011-01-21,50.0,13.0,39.0,42.0,21.0
2011-01-22,58.0,16.0,44.0,36.0,16.0
2011-01-23,50.0,14.0,40.0,39.0,12.0
2011-01-24,57.0,20.0,31.0,36.0,10.0
2011-01-25,44.0,23.0,27.0,37.0,13.0
2011-01-26,46.0,24.0,26.0,37.0,10.0
2011-01-27,42.0,20.0,24.0,37.0,11.0
2011-01-28,43.0,14.0,31.0,37.0,11.0
2011-01-29,24.0,14.0,23.0,33.0,10.0
2011-01-30,37.0,16.0,25.0,31.0,13.0
2011-01-31,30.0,14.0,22.0,19.0,8.0
2011-02-01,37.0,20.0,22.0,26.0,11.0
2011-02-02,49.0,18.0,29.0,32.0,11.0
2011-02-03,39.0,16.0,24.0,40.0,10.0
2011-02-04,41.0,16.0,27.0,33.0,12.0
2011-02-05,44.0,14.0,39.0,29.0,14.0
2011-02-06,29.0,15.0,21.0,30.0,16.0
2011-02-07,41.0,16.0,24.0,29.0,12.0
2011-02-08,39.0,17.0,28.0,44.0,11.0
2011-02-09,41.0,19.0,30.0,50.0,12.0
2011-02-10,54.0,18.0,30.0,48.0,15.0
2011-02-11,78.0,21.0,49.0,96.0,24.0
2011-02-12,60.0,17.0,33.0,48.0,14.0
2011-02-13,57.0,18.0,26.0,54.0,12.0
2011-02-14,41.0,12.0,39.0,42.0,13.0
2011-02-15,48.0,15.0,53.0,37.0,13.0
2011-02-16,51.0,16.0,21.0,34.0,13.0
2011-02-17,46.0,22.0,33.0,34.0,16.0
2011-02-18,36.0,18.0,24.0,39.0,13.0
2011-02-19,46.0,21.0,26.0,33.0,12.0
2011-02-20,42.0,17.0,24.0,46.0,13.0
2011-02-21,43.0,16.0,22.0,40.0,13.0
2011-02-22,46.0,15.0,23.0,42.0,12.0
2011-02-23,47.0,15.0,26.0,41.0,11.0
2011-02-24,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-02-25,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-02-26,39.0,14.0,24.0,29.0,12.0
2011-02-27,39.0,15.0,32.0,26.0,15.0
2011-02-28,39.0,16.0,29.0,22.0,12.0
2011-03-01,21.0,14.0,26.0,21.0,8.0
2011-03-02,28.0,15.0,21.0,34.0,7.0
2011-03-03,29.0,16.0,22.0,25.0,9.0
2011-03-04,32.0,18.0,27.0,26.0,13.0
2011-03-05,33.0,17.0,35.0,33.0,13.0
2011-03-06,30.0,14.0,24.0,23.0,6.0
2011-03-07,25.0,14.0,17.0,17.0,5.0
2011-03-08,27.0,14.0,20.0,30.0,9.0
2011-03-09,31.0,17.0,25.0,33.0,11.0
2011-03-10,32.0,17.0,26.0,30.0,14.0
2011-03-11,28.0,15.0,24.0,37.0,10.0
2011-03-12,35.0,17.0,26.0,54.0,10.0
2011-03-13,46.0,17.0,25.0,45.0,11.0
2011-03-14,56.0,15.0,47.0,24.0,11.0
2011-03-15,41.0,16.0,25.0,37.0,12.0
2011-03-16,39.0,19.0,35.0,53.0,18.0
2011-03-17,57.0,19.0,54.0,73.0,21.0
2011-03-18,55.0,22.0,33.0,47.0,20.0
2011-03-19,56.0,17.0,26.0,71.0,23.0
2011-03-20,54.0,15.0,32.0,50.0,22.0
2011-03-21,31.0,13.0,20.0,38.0,8.0
2011-03-22,29.0,15.0,22.0,22.0,8.0
2011-03-23,25.0,15.0,22.0,22.0,7.0
2011-03-24,22.0,14.0,18.0,24.0,7.0
2011-03-25,22.0,14.0,22.0,27.0,10.0
2011-03-26,25.0,13.0,22.0,27.0,8.0
2011-03-27,23.0,13.0,19.0,28.0,9.0
2011-03-28,21.0,13.0,15.0,21.0,8.0
2011-03-29,21.0,13.0,16.0,20.0,6.0
2011-03-30,23.0,14.0,19.0,23.0,6.0
2011-03-31,25.0,14.0,21.0,21.0,7.0
2011-04-01,23.0,14.0,20.0,21.0,5.0
2011-04-02,24.0,15.0,24.0,25.0,6.0
2011-04-03,24.0,14.0,13.0,22.0,7.0
2011-04-04,26.0,15.0,23.0,25.0,9.0
2011-04-05,23.0,14.0,21.0,27.0,7.0
2011-04-06,25.0,14.0,19.0,23.0,6.0
2011-04-07,27.0,15.0,20.0,28.0,8.0
2011-04-08,40.0,18.0,24.0,44.0,12.0
2011-04-09,50.0,21.0,33.0,24.0,12.0
2011-04-10,39.0,16.0,23.0,42.0,9.0
2011-04-11,40.0,17.0,30.0,37.0,11.0
2011-04-12,62.0,22.0,35.0,67.0,19.0
2011-04-13,62.0,23.0,32.0,82.0,17.0
2011-04-14,62.0,22.0,35.0,55.0,26.0
2011-04-15,65.0,23.0,36.0,76.0,23.0
2011-04-16,58.0,18.0,29.0,88.0,34.0
2011-04-17,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-04-18,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-04-19,55.2,17.0,28.0,70.0,14.0
2011-04-20,64.0,23.0,30.0,66.0,19.0
2011-04-21,58.0,19.0,33.0,51.0,21.0
2011-04-22,55.0,16.0,26.0,125.0,15.0
2011-04-23,51.0,15.0,18.0,82.0,13.0
2011-04-24,53.0,15.0,27.0,83.0,16.0
2011-04-25,55.0,17.0,36.0,70.0,14.0
2011-04-26,57.0,24.0,27.0,61.0,15.0
2011-04-27,53.0,25.0,34.0,71.0,22.0
2011-04-28,54.0,18.0,32.0,68.0,15.0
2011-04-29,56.0,19.0,27.0,60.0,14.0
2011-04-30,62.0,19.0,42.0,78.0,22.0
2011-05-01,59.0,18.0,51.0,88.0,20.0
2011-05-02,39.0,19.0,35.0,93.0,21.0
2011-05-03,61.0,22.0,31.0,69.0,14.0
2011-05-04,39.0,18.0,26.0,47.0,12.0
2011-05-05,39.0,17.0,28.0,63.0,11.0
2011-05-06,46.0,22.0,36.0,62.0,14.0
2011-05-07,39.0,22.0,30.0,63.0,10.0
2011-05-08,44.0,15.0,29.0,50.0,10.0
2011-05-09,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-05-10,57.0,20.0,29.0,107.0,19.0
2011-05-11,57.0,19.0,30.0,89.0,20.0
2011-05-12,60.0,19.0,31.0,75.0,17.0
2011-05-13,59.0,18.0,35.0,87.0,18.0
2011-05-14,60.0,17.0,33.0,72.0,19.0
2011-05-15,55.0,16.0,31.0,85.0,13.0
2011-05-16,53.0,17.0,30.0,89.0,22.0
2011-05-17,55.0,18.0,28.0,77.0,18.0
2011-05-18,52.0,18.0,34.0,77.0,19.0
2011-05-19,67.0,20.0,41.0,71.0,19.0
2011-05-20,53.0,20.0,36.0,78.0,19.0
2011-05-21,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-05-22,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-05-23,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-05-24,55.0,19.0,34.0,3.0,19.0
2011-05-25,55.0,21.0,37.0,4.0,19.0
2011-05-26,58.0,19.0,40.0,5.0,22.0
2011-05-27,59.0,21.0,37.0,48.0,18.0
2011-05-28,59.0,21.0,30.0,68.0,15.0
2011-05-29,62.0,23.0,19.0,89.0,14.0
2011-05-30,61.0,20.0,32.0,51.0,18.0
2011-05-31,62.0,21.0,35.0,79.0,26.0
2011-06-01,76.0,21.0,70.0,51.0,20.0
2011-06-02,56.0,17.0,25.0,59.0,9.0
2011-06-03,48.0,19.0,18.0,48.0,7.0
2011-06-04,46.0,21.0,16.0,44.0,7.0
2011-06-05,47.0,17.0,25.0,52.0,9.0
2011-06-06,52.0,17.0,37.0,60.0,21.0
2011-06-07,65.0,15.0,41.0,59.0,20.0
2011-06-08,67.0,15.0,35.0,62.0,17.0
2011-06-09,57.0,12.0,37.0,56.0,18.0
2011-06-10,53.0,13.0,32.0,64.0,18.0
2011-06-11,65.0,22.0,29.0,55.0,20.0
2011-06-12,59.0,21.0,20.0,64.0,14.0
2011-06-13,57.0,18.0,29.0,68.0,16.0
2011-06-14,62.0,23.0,27.0,66.0,20.0
2011-06-15,65.0,23.0,41.0,81.0,23.0
2011-06-16,60.0,23.0,35.0,70.0,19.0
2011-06-17,61.0,20.0,31.0,67.0,16.0
2011-06-18,51.0,10.0,24.0,83.0,14.0
2011-06-19,57.0,10.0,20.0,77.0,13.0
2011-06-20,55.0,12.0,32.0,63.0,25.0
2011-06-21,60.0,15.0,30.0,45.0,26.0
2011-06-22,62.0,15.0,29.0,71.0,21.0
2011-06-23,68.0,13.0,29.0,77.0,19.0
2011-06-24,67.0,14.0,29.0,67.0,16.0
2011-06-25,66.0,11.0,27.0,51.0,13.0
2011-06-26,60.0,12.0,18.0,46.0,12.0
2011-06-27,56.0,12.0,23.0,38.0,14.0
2011-06-28,59.0,10.0,28.0,76.0,18.0
2011-06-29,53.0,14.0,27.0,78.0,20.0
2011-06-30,52.0,12.0,33.0,99.0,21.0
2011-07-01,59.0,14.0,33.0,65.0,19.0
2011-07-02,63.0,17.0,34.0,51.0,18.0
2011-07-03,56.0,14.0,20.0,46.0,14.0
2011-07-04,54.0,13.0,24.0,55.0,15.0
2011-07-05,66.0,14.0,29.0,78.0,17.0
2011-07-06,54.0,13.0,27.0,46.0,17.0
2011-07-07,59.0,18.0,27.0,62.0,14.0
2011-07-08,63.0,19.0,25.0,42.0,12.0
2011-07-09,54.0,16.0,21.0,54.0,10.0
2011-07-10,51.0,15.0,18.0,57.0,12.0
2011-07-11,54.0,13.0,27.0,55.0,13.0
2011-07-12,60.0,20.0,30.0,50.0,17.0
2011-07-13,58.0,17.0,28.0,44.0,13.0
2011-07-14,57.0,14.0,27.0,81.0,17.0
2011-07-15,63.0,14.0,30.0,123.0,19.0
2011-07-16,62.0,14.0,29.0,75.0,18.0
2011-07-17,61.0,17.0,31.0,48.0,16.0
2011-07-18,62.0,18.0,35.0,84.0,26.0
2011-07-19,62.0,18.0,32.0,60.0,16.0
2011-07-20,52.0,16.0,26.0,42.0,13.0
2011-07-21,53.0,17.0,23.0,36.0,11.0
2011-07-22,55.0,22.0,23.0,31.0,10.0
2011-07-23,62.0,19.0,30.0,34.0,13.0
2011-07-24,55.0,16.0,19.0,75.0,14.0
2011-07-25,51.0,13.0,30.0,87.0,22.0
2011-07-26,65.0,17.0,32.0,55.0,18.0
2011-07-27,59.0,12.0,25.0,75.0,18.0
2011-07-28,61.0,7.0,29.0,81.0,16.0
2011-07-29,53.0,16.0,27.0,80.0,18.0
2011-07-30,64.0,15.0,27.0,78.0,20.0
2011-07-31,57.0,14.0,20.0,54.0,19.0
2011-08-01,57.0,16.0,23.0,47.0,16.0
2011-08-02,56.0,14.0,25.0,53.0,15.0
2011-08-03,58.0,10.0,28.0,100.0,20.0
2011-08-04,65.0,12.0,27.0,99.0,21.0
2011-08-05,65.0,16.0,29.0,84.0,22.0
2011-08-06,68.0,15.0,27.0,85.0,16.0
2011-08-07,66.0,14.0,23.0,54.0,13.0
2011-08-08,63.0,12.0,24.0,60.0,14.0
2011-08-09,67.0,14.0,23.0,61.0,14.0
2011-08-10,74.0,14.0,25.0,73.0,16.0
2011-08-11,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-08-12,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-08-13,68.0,11.0,19.0,62.0,13.0
2011-08-14,70.0,12.0,20.0,73.0,15.0
2011-08-15,64.0,16.0,33.0,68.0,19.0
2011-08-16,65.0,13.0,29.0,62.6,17.0
2011-08-17,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-08-18,79.0,16.0,37.0,80.0,22.0
2011-08-19,52.29009433962264,18.480829015544042,23.85072314049587,50.01934134866701,13.740141028989292
2011-08-20,62.0,15.0,20.0,52.0,17.0
2011-08-21,66.0,15.0,15.0,57.0,13.0
2011-08-22,70.0,17.0,28.0,103.0,22.0
2011-08-23,72.0,17.0,29.0,62.0,15.0
2011-08-24,70.0,17.0,29.0,72.0,18.0
2011-08-25,66.0,19.0,28.0,133.0,18.0
2011-08-26,67.0,17.0,27.0,113.0,18.0
2011-08-27,63.0,14.0,20.0,48.0,13.0
2011-08-28,62.0,13.0,17.0,51.0,12.0
