tanggal,pm10,so2,co,o3,no2
2011-01-01,19.0,6.0,19.0,41.0,7.0
2011-01-02,17.0,4.0,12.0,41.0,11.0
2011-01-03,21.0,5.0,25.0,22.0,15.0
2011-01-04,17.0,8.0,16.0,44.0,9.0
2011-01-05,15.0,4.0,18.0,27.0,12.0
2011-01-06,16.0,5.0,17.0,29.0,19.0
2011-01-07,18.0,6.0,19.0,46.0,19.0
2011-01-08,22.0,9.0,17.0,43.0,16.0
2011-01-09,31.0,5.0,35.0,28.0,14.0
2011-01-10,16.0,9.0,16.0,29.0,13.0
2011-01-11,19.0,5.0,14.0,35.0,9.0
2011-01-12,21.0,4.0,19.0,33.0,8.0
2011-01-13,22.0,4.0,20.0,44.0,14.0
2011-01-14,21.0,6.0,18.0,39.0,17.0
2011-01-15,22.0,6.0,18.0,31.0,17.0
2011-01-16,16.0,4.0,14.0,22.0,8.0
2011-01-17,16.0,6.0,18.0,35.0,13.0
2011-01-18,17.0,7.0,19.0,38.0,14.0
2011-01-19,26.0,7.0,26.0,40.0,16.0
2011-01-20,23.0,5.0,18.0,36.0,16.0
2011-01-21,26.0,5.0,28.0,34.0,21.0
2011-01-22,37.0,7.0,38.0,31.0,17.0
2011-01-23,35.0,7.0,47.0,38.0,14.0
2011-01-24,35.0,7.0,33.0,32.0,15.0
2011-01-25,20.0,10.0,15.0,30.0,14.0
2011-01-26,25.0,16.0,14.0,22.0,14.0
2011-01-27,20.0,10.0,16.0,29.0,13.0
2011-01-28,55.81945525291829,20.611947919326013,18.523616048755713,76.82438279460422,15.14828897338403
2011-01-29,55.81945525291829,20.611947919326013,18.523616048755713,76.82438279460422,15.14828897338403
2011-01-30,55.81945525291829,20.611947919326013,18.523616048755713,76.82438279460422,15.14828897338403
2011-01-31,55.81945525291829,20.611947919326013,18.523616048755713,76.82438279460422,15.14828897338403
2011-02-01,55.81945525291829,20.611947919326013,18.523616048755713,76.82438279460422,15.14828897338403
2011-02-02,29.0,6.0,24.0,28.0,13.0
2011-02-03,20.0,6.0,18.0,35.0,12.0
2011-02-04,22.0,5.0,13.0,31.0,13.0
2011-02-05,35.0,7.0,44.0,51.0,15.0
2011-02-06,20.0,5.0,15.0,37.0,9.0
2011-02-07,24.0,7.0,19.0,34.0,13.0
2011-02-08,20.0,7.0,16.0,34.0,17.0
2011-02-09,24.0,11.0,21.0,54.0,22.0
2011-02-10,34.0,11.0,21.0,64.0,20.0
2011-02-11,69.0,14.0,42.0,76.0,23.0
2011-02-12,44.0,11.0,23.0,54.0,15.0
2011-02-13,44.0,12.0,20.0,55.0,14.0
2011-02-14,35.0,8.0,22.0,43.0,14.0
2011-02-15,32.0,10.0,31.0,32.0,13.0
2011-02-16,37.0,8.0,25.0,39.0,17.0
