tanggal,pm10,so2,co,o3,no2
2011-01-01,19,6,19,41,7
2011-01-02,17,4,12,41,11
2011-01-03,21,5,25,22,15
2011-01-04,17,8,16,44,9
2011-01-05,15,4,18,27,12
2011-01-06,16,5,17,29,19
2011-01-07,18,6,19,46,19
2011-01-08,22,9,17,43,16
2011-01-09,31,5,35,28,14
2011-01-10,16,9,16,29,13
2011-01-11,19,5,14,35,9
2011-01-12,21,4,19,33,8
2011-01-13,22,4,20,44,14
2011-01-14,21,6,18,39,17
2011-01-15,22,6,18,31,17
2011-01-16,16,4,14,22,8
2011-01-17,16,6,18,35,13
2011-01-18,17,7,19,38,14
2011-01-19,26,7,26,40,16
2011-01-20,23,5,18,36,16
2011-01-21,26,5,28,34,21
2011-01-22,37,7,38,31,17
2011-01-23,35,7,47,38,14
2011-01-24,35,7,33,32,15
2011-01-25,20,10,15,30,14
2011-01-26,25,16,14,22,14
2011-01-27,20,10,16,29,13
2011-01-28,,,,,
2011-01-29,,,,,
2011-01-30,,,,,
2011-01-31,,,,,
2011-02-01,,,,,
2011-02-02,29,6,24,28,13
2011-02-03,20,6,18,35,12
2011-02-04,22,5,13,31,13
2011-02-05,35,7,44,51,15
2011-02-06,20,5,15,37,9
2011-02-07,24,7,19,34,13
2011-02-08,20,7,16,34,17
2011-02-09,24,11,21,54,22
2011-02-10,34,11,21,64,20
2011-02-11,69,14,42,76,23
2011-02-12,44,11,23,54,15
2011-02-13,44,12,20,55,14
2011-02-14,35,8,22,43,14
2011-02-15,32,10,31,32,13
2011-02-16,37,8,25,39,17
2011-02-17,30,8,22,35,18
2011-02-18,20,6,15,31,16
2011-02-19,26,11,13,29,14
2011-02-20,27,8,19,36,14
2011-02-21,25,11,13,37,17
2011-02-22,26,7,9,44,12
2011-02-23,31,7,22,35,17
2011-02-24,32,6,16,32,14
2011-02-25,28,9,11,31,13
2011-02-26,23,7,14,31,12
2011-02-27,27,6,23,25,18
2011-02-28,28,6,27,17,13
2011-03-01,16,4,24,42,8
2011-03-02,20,5,13,32,8
2011-03-03,20,5,13,28,8
2011-03-04,20,5,20,42,12
2011-03-05,22,5,19,35,11
2011-03-06,21,5,19,31,8
2011-03-07,18,4,14,23,9
2011-03-08,17,4,12,33,9
2011-03-09,20,7,14,47,17
2011-03-10,20,7,17,32,11
2011-03-11,21,11,14,29,11
2011-03-12,24,9,16,60,28
2011-03-13,,8,16,39,15
2011-03-14,,7,47,31,17
2011-03-15,,8,20,72,13
2011-03-16,,6,27,96,12
2011-03-17,,15,33,67,17
2011-03-18,,13,20,72,15
2011-03-19,,8,15,65,14
2011-03-20,,8,25,62,17
2011-03-21,,4,19,25,11
