tanggal,pm10,so2,co,o3,no2
2014-01-01,54.0,6.0,56.0,41.0,7.0
2014-01-02,19.0,7.0,23.0,64.0,18.0
2014-01-03,23.0,7.0,34.0,76.0,13.0
2014-01-04,23.0,6.0,36.0,57.0,9.0
2014-01-05,16.0,6.0,13.0,21.0,4.0
2014-01-06,15.0,5.0,7.0,17.0,2.0
2014-01-07,23.0,6.0,11.0,39.0,5.0
2014-01-08,27.0,6.0,30.0,40.0,5.0
2014-01-09,19.0,6.0,39.0,33.0,8.0
2014-01-10,17.0,6.0,13.0,39.0,7.0
2014-01-11,17.0,7.0,15.0,66.0,6.0
2014-01-12,16.0,5.0,25.0,51.0,4.0
2014-01-13,13.0,7.0,23.0,42.0,6.0
2014-01-14,17.0,7.0,19.0,45.0,2.0
2014-01-15,21.0,6.0,20.0,40.0,5.0
2014-01-16,17.0,6.0,27.0,40.0,7.0
2014-01-17,25.0,6.0,20.0,42.0,2.0
2014-01-18,16.0,6.0,21.0,42.0,6.0
2014-01-19,16.0,6.0,21.0,41.0,9.0
2014-01-20,13.0,6.0,24.0,42.0,11.0
2014-01-21,17.0,6.0,13.0,39.0,13.0
2014-01-22,66.0,7.0,14.0,41.0,10.0
2014-01-23,54.0,6.0,19.0,41.0,8.0
2014-01-24,35.0,6.0,20.0,44.0,2.0
2014-01-25,66.0,6.0,14.0,42.0,10.0
2014-01-26,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2014-01-27,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2014-01-28,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2014-01-29,32.0,6.0,27.0,33.0,6.0
2014-01-30,37.0,6.0,33.0,38.0,4.0
2014-01-31,44.0,6.0,33.0,40.0,5.0
2014-02-01,34.0,6.0,29.0,45.0,6.0
2014-02-02,31.0,6.0,27.0,42.0,7.0
2014-02-03,28.0,6.0,31.0,48.0,5.0
2014-02-04,23.0,6.0,23.0,56.0,9.0
2014-02-05,63.0,7.0,62.0,62.0,10.0
2014-02-06,63.0,7.0,49.0,53.0,4.0
2014-02-07,51.0,6.0,34.0,49.0,6.0
2014-02-08,23.0,6.0,14.0,33.0,6.0
2014-02-09,24.0,6.0,71.0,41.0,9.0
2014-02-10,14.0,7.0,20.0,54.0,13.0
2014-02-11,25.0,7.0,22.0,58.0,13.0
2014-02-12,40.0,7.0,42.0,55.0,5.0
2014-02-13,38.0,8.0,40.0,79.0,12.0
2014-02-14,43.0,8.0,46.0,52.0,9.0
2014-02-15,60.0,9.0,48.0,39.0,8.0
2014-02-16,63.0,12.0,34.0,40.0,8.0
2014-02-17,59.0,8.0,42.0,99.0,9.0
2014-02-18,51.0,7.0,34.0,42.0,9.0
2014-02-19,67.0,8.0,38.0,41.0,4.0
2014-02-20,54.0,7.0,38.0,49.0,12.0
2014-02-21,30.0,9.0,19.0,44.0,2.0
2014-02-22,28.0,8.0,28.0,29.0,8.0
2014-02-23,18.0,8.0,31.0,47.0,8.0
2014-02-24,25.0,8.0,25.0,44.0,4.0
2014-02-25,29.0,8.0,30.0,47.0,7.0
2014-02-26,25.0,8.0,20.0,45.0,8.0
2014-02-27,33.0,9.0,37.0,48.0,10.0
2014-02-28,61.0,11.0,69.0,97.0,11.0
2014-03-01,40.0,9.0,31.0,91.0,7.0
2014-03-02,22.0,9.0,20.0,75.0,8.0
2014-03-03,25.0,9.0,25.0,144.0,6.0
2014-03-04,26.0,10.0,26.0,156.0,9.0
2014-03-05,25.0,10.0,20.0,67.0,12.0
2014-03-06,25.0,10.0,48.0,155.0,15.0
2014-03-07,28.0,8.0,35.0,85.0,14.0
2014-03-08,33.0,9.0,25.0,85.0,9.0
2014-03-09,21.0,7.0,63.0,52.0,8.0
2014-03-10,22.0,8.0,31.0,55.0,7.0
2014-03-11,33.0,8.0,46.0,53.0,16.0
2014-03-12,33.0,8.0,50.0,44.0,7.0
2014-03-13,43.0,10.0,70.0,66.0,12.0
2014-03-14,26.0,8.0,34.0,99.0,11.0
2014-03-15,37.0,8.0,51.0,138.0,12.0
2014-03-16,30.0,8.0,49.0,78.0,10.0
2014-03-17,24.0,8.0,27.0,92.0,8.0
2014-03-18,28.0,8.0,42.0,90.0,10.0
2014-03-19,23.0,9.0,31.0,66.0,14.0
2014-03-20,17.0,8.0,40.0,146.0,8.0
2014-03-21,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2014-03-22,25.0,8.0,30.0,57.0,11.0
2014-03-23,18.0,8.0,28.0,47.0,8.0
2014-03-24,33.0,9.0,48.0,53.0,12.0
2014-03-25,31.0,10.0,21.0,51.0,10.0
2014-03-26,25.0,8.0,21.0,75.0,13.0
2014-03-27,55.0,11.0,54.0,114.0,12.0
2014-03-28,28.0,9.0,26.0,100.0,12.0
2014-03-29,20.0,9.0,23.0,105.0,11.0
2014-03-30,26.0,9.0,25.0,76.0,13.0
2014-03-31,26.0,8.0,37.0,60.0,8.0
2014-04-01,21.0,9.0,29.0,79.0,8.0
2014-04-02,30.0,9.0,33.0,96.0,6.0
2014-04-03,22.0,11.0,24.0,79.0,9.0
2014-04-04,30.0,8.0,34.0,59.0,7.0
2014-04-05,26.0,9.0,34.0,83.0,8.0
2014-04-06,15.0,9.0,16.0,66.0,6.0
2014-04-07,14.0,8.0,11.0,44.0,4.0
